s	t	H	V	T	P	T_avg	P_avg
0	0.0	1517.4148181889873	-657.3812107363187	1395.7776358926953	0.0	0.6978888179463477	0.0
1	0.1	1519.659276878834	-157.99843249954847	1076.7157380687572	10081.005658440155	28.618866625997118	17.18151138897221
2	0.2	1518.9162109773179	-44.144022967095566	1003.167418496214	6918.175084830923	54.58695557803351	147.38897674285096
3	0.3	1519.254073783348	29.21671350880284	956.3015549295117	13426.213104782115	78.73089115945375	657.445130664295
4	0.4	1519.4129587959083	-26.357161278603055	992.0706747369508	4255.66875301637	102.4279140064979	1237.2530901333769
5	0.5	1519.7282917953257	13.81165646447809	966.4928265260153	16362.200203223194	127.02464215454494	1408.8679083058973
6	0.6	1519.1035669051623	5.72613527127504	971.2811434473404	2122.2145310659043	151.70015630597916	1524.1485288789102
7	0.7000000000000001	1519.4764445725682	-38.122427563082596	999.6623326983719	2751.894636112459	176.35969182904495	1692.0720647499468
8	0.8	1519.4905109784013	-28.756832089280667	993.6605491007987	5813.992746077173	200.9733943286119	1912.2016264128856
9	0.9	1520.8869535986848	53.421922667211184	941.8147009588279	14637.51785276225	225.432595090821	2194.1264589847497
10	1.0	1520.2534536299572	-45.8501183927049	1005.1206238412593	931.4102136555767	250.06653912846605	2372.8686145605398
11	1.1	1520.030669822393	2.966671225009506	973.647171181634	13778.935395518285	274.5232574273767	2645.7549679613103
12	1.2	1518.3527187891452	10.163104904613661	967.9516174148619	14378.534283651892	299.06050819656167	2919.754590241431
13	1.3	1519.1994926885097	-23.645780188958305	990.1935164877452	4376.511622998885	323.79654179594104	3058.4524114441974
14	1.4000000000000001	1518.6520068308232	-9.05047309044022	980.4749169169761	4902.150798570532	348.7027296456583	3184.1884145520035
15	1.5	1520.2199573997432	-10.259926583479434	982.2574465997418	11325.208100382339	373.2273443300894	3427.070344561547
16	1.6	1520.0962038056884	-22.33947047559915	989.9306373245328	8032.013574116559	397.48233073732337	3692.8997358197
17	1.7	1520.033582030704	-30.208934454634363	994.9410454779548	7799.270935462826	421.8444887912413	3970.614586329391
18	1.8	1519.4019426459527	-42.9997254465789	1002.7447528873047	3208.2588255508176	446.76168620944156	4052.798249326327
19	1.9000000000000001	1519.6750982334609	-5.356174033811346	978.7605437736204	7277.389886441362	471.37967397813327	4217.8619070838195
20	2.0	1519.905180625605	10.603031790432556	968.665639043833	11929.046765273337	496.01985761575804	4364.256778754287
21	2.1	1519.7765121340656	-9.967014465126283	981.7848546164088	10917.040926518757	520.3992315995329	4635.823297556119
22	2.2	1519.7920170295647	13.242439702194726	966.8990468206144	12684.861553047722	544.8637501919713	4864.9152416956695
23	2.3000000000000003	1519.754731922393	-39.36349347860116	1000.6374491141559	1999.6074971698802	569.3962396601346	5047.455262848186
24	2.4	1519.85644165895	-26.22634749504693	992.2713448240654	5394.3487214975985	594.2197205944954	5131.573233164513
