s	t	H	V	T	P	T_avg	P_avg
25	2.5	1519.8672702769325	11.76757736469682	967.8939064017558	16450.505073593868	618.8182177933097	5305.54056859544
26	2.6	1518.900641278022	12.405570259328552	966.8640648334977	9502.323939219976	643.2445764808322	5553.412733543725
27	2.7	1519.6026789799032	-24.088218813720253	990.7362360488559	3711.4703865231986	667.7469936416659	5770.039652818359
28	2.8000000000000003	1519.6681013648638	-23.62803821049411	990.4828813961383	1738.2337888656753	692.3628872833245	5931.070714694731
29	2.9	1520.1699637764534	-36.886233783279984	999.3140457663752	2430.9051453899838	716.9707134152032	6102.90835128146
30	3.0	1520.2486612996354	26.34390593156515	958.7836376209035	15542.20173003336	741.4402320917903	6361.387539065282
31	3.1	1520.550469366502	-14.880250529430178	985.4348783928967	9320.950984048059	766.0663816876491	6528.206052538411
32	3.2	1519.928537148653	-16.900213839228577	986.3321305979184	2698.6969136095067	790.8846527465253	6624.812263870028
33	3.3000000000000003	1520.081566133445	-24.907076634143166	991.5691249210353	4424.062672463231	815.438689455723	6796.185031835098
34	3.4	1520.0321882139351	-19.171452149313524	987.8563275496181	9970.334399381054	839.8424032534896	7064.580828467067
35	3.5	1520.0021086027252	-6.364526719393762	979.6175758184478	8706.369932547195	864.4051005775038	7236.94527949517
36	3.6	1519.5493951580008	-31.407524778439573	995.3995474923004	2925.045719273082	888.9472472184583	7392.582402706289
37	3.7	1520.0975375264197	-39.15057290412553	1000.7208089405826	3007.6145404185063	913.4188059587387	7575.704673027744
38	3.8000000000000003	1520.5500235452755	-4.471470976571325	978.7542684456297	8081.903263026092	937.9987256066062	7750.970924688318
39	3.9	1520.378669483755	-31.67205486831698	996.1015479195006	4587.029504755165	962.292975373567	8000.083689939446
40	4.0	1521.409643506173	17.705862005496403	965.0726235062507	2807.2387193938303	986.9264570875207	8175.236107501119
41	4.1	1520.1438446130414	-11.831495995087266	983.2172262226258	7208.3135222092205	1011.5729119838327	8353.002445785736
42	4.2	1521.4513912448288	74.52686623688525	928.6318652277214	21847.688835087767	1036.0095933295338	8615.627072434227
43	4.3	1521.1814160695972	40.10370426734909	950.5512791350169	28823.411809464986	1060.7225926977992	8812.354637656868
44	4.4	1521.351983771202	-38.54757887397316	1001.1389090382191	555.2373889808962	1085.4602697217117	8972.762580990804
45	4.5	1521.108904348171	-24.34678773706625	991.8688757867549	8458.80201149907	1109.8207227666367	9245.267577874974
46	4.6000000000000005	1521.5922599501746	-14.409526332251161	985.8013871046454	5269.264269786776	1134.6047796217508	9341.016958973423
47	4.7	1520.8247141225258	-26.832636045858603	993.2818934093121	2712.7513751658316	1159.0037351883052	9627.78304882751
48	4.8	1520.8219029666025	-6.970231885677842	980.532457185579	423.18168559855366	1183.4885582936809	9873.339401017893
49	4.9	1521.5118040197137	-7.373701982651443	981.2341795442376	3140.0263397571675	1208.048451584424	10044.976781520145
