s	t	H	V	T	P	T_avg	P_avg
33	3.3000000000000003	790.7763952539848	-27.224397120757615	524.9904804651376	2710.727803700987	448.5173528644894	2832.651434138518
34	3.4	790.7308831805979	-49.933247315161154	539.535743599364	1206.7559022342723	461.823434393828	2900.9231794166494
35	3.5	790.641148188524	-23.440444709320296	522.4751498742683	5371.482343091001	475.105882389945	2965.9148619613857
36	3.6	790.5699952154971	-22.015074195818396	521.5146855427616	6240.057026674559	488.37335076034043	3066.9020113881197
37	3.7	790.3438844336355	-17.833821305173778	518.6860526201743	3422.7057987115845	501.5188723011906	3145.64131777987
38	3.8000000000000003	790.5919570042992	-26.01436251010645	524.0955119226029	6038.9188787571575	514.7845536856753	3197.483688585344
39	3.9	790.6788879303905	-33.19272311593268	528.7583544621408	4866.797040514837	528.0020740804076	3278.718860729247
40	4.0	790.7369387292675	-30.783774322991956	527.2495551077477	2213.170541311843	541.3572340560703	3356.523220194004
41	4.1	790.6247176876483	-31.4791995436586	527.6238538187289	345.2499701956105	554.6055714510345	3433.909539374011
42	4.2	790.7114560650871	-10.454683504394954	514.1860502652112	8871.474967046297	567.8014821486069	3504.2122418031045
43	4.3	790.6358449379627	-44.04508204290781	535.695741343519	1104.9825419841945	580.9686381603229	3619.1470293332686
44	4.4	790.652996141052	-40.405503947828855	533.3708785167306	2624.9299265872273	594.3529269703483	3674.794106514985
45	4.5	790.6252324619275	-37.60271579477459	531.5542387527971	537.9368351127122	607.6654317260442	3728.138815462362
46	4.6000000000000005	790.8427052399952	-36.25251293002516	530.8272559454604	4838.361787804228	620.9906201566215	3797.4656315990633
47	4.7	790.948146447206	-22.311466833883095	521.9476057961261	5280.984962255096	634.2556697746262	3876.461755045612
48	4.8	790.981575789427	-25.57567577641452	524.0640202588634	4254.007456579164	647.5845624562352	3944.246700043994
49	4.9	790.6033262058356	-37.53431305020041	531.4962787042349	1935.5754269364604	660.7090207687271	4074.0852914319485
