s	t	H	V	T	P	T_avg	P_avg
0	0.0	788.6057710429969	-661.4297476614773	930.6284917477573	0.0	0.46531424587387865	0.0
1	0.1	790.0344416173633	-234.8571090065772	657.7723549933031	0.0	17.99600220981736	0.0
2	0.2	790.2036702385576	-111.17768003693871	578.5038750263915	0.0	33.18601208356196	50.56183954599983
3	0.3	790.0826177971979	-50.664963267824085	539.5893019270097	7029.576671288828	47.095406562137484	141.6942776015511
4	0.4	790.2016436816428	-10.325463841095633	513.7759213944571	17575.275293074723	60.23005276914556	432.30177459834005
5	0.5	790.1333238442296	-44.39816308881535	535.5998311644091	5136.701171966789	73.51883051979327	626.0688926495783
6	0.6	790.1427114068786	-57.90408642362392	544.2739175807477	3552.44216244127	87.01685803091198	716.4186460500855
7	0.7000000000000001	790.4878231337467	-48.64144827335753	538.5506755922049	566.2333357184763	100.60611082621676	768.9046264020657
8	0.8	790.0553486888355	-58.10502383889116	544.346809484301	293.05387207564263	114.19976456636695	819.3042536743369
9	0.9	790.1786183788179	-38.76002437386278	532.0103603707537	6354.522461666374	127.8047997582871	888.9723348759092
10	1.0	790.1901309455737	-54.12849931870055	541.8811907031043	997.6851100428192	141.4422078981709	953.7329886832855
11	1.1	790.187375139747	-38.345268173805806	531.7497911358543	2199.7303206392244	154.79687393582088	1056.0998576444267
12	1.2	789.980874131732	-62.14409980675852	546.8912789015583	2655.2077971991284	168.22794526657336	1148.0402172711413
13	1.3	790.0664278172109	-49.74136482758466	538.986148508493	2115.267236323621	181.70701807966296	1227.5600043811362
14	1.4000000000000001	790.0509691124247	-47.86117815517619	537.769528932275	6089.078205868308	195.1894938637949	1308.26988312579
15	1.5	789.7813417935266	-55.54593403552428	542.5285364326039	2267.8504620166896	208.62437014548314	1396.370155246395
16	1.6	789.5668693989143	-39.45551012951328	532.0641023848713	354.94451732969094	221.9807744248194	1459.296632450477
17	1.7	789.8542305500429	-38.95415554874551	531.9267620369279	7522.470058440032	235.13568725013363	1579.9700612376257
18	1.8	790.25769012084	-33.236343967252125	528.5160266911141	6124.02259791387	248.5187484063095	1641.4707650292924
19	1.9000000000000001	790.2581780431102	-45.43667535509175	536.3464763085132	4905.382175713067	261.8775719510193	1727.0493369623605
20	2.0	790.5122890149534	-50.46842811283033	539.7389279600698	1327.851647998193	275.2079613442001	1821.3209994215752
21	2.1	790.7651762732892	-36.49935125860233	530.9359181913463	4916.86986036824	288.6511701558733	1873.5385479687857
22	2.2	790.6122840436154	-38.9658206588848	532.4207651520259	5175.823008945898	301.89513905964566	2010.8539973652653
23	2.3000000000000003	790.64502995454	-46.9793106245757	537.584815453905	2705.1899506039304	315.2960535069687	2040.0169357061984
24	2.4	790.2228225289073	-30.590933771577678	526.7958323629265	2292.161438304394	328.54029843498114	2157.523323312537
25	2.5	790.5608410130963	-40.98583423363655	533.6841878839841	1890.8469330483265	341.8223178131246	2216.0263205442284
26	2.6	790.3630861148915	-38.09610395233067	531.7026490603913	2128.051748427873	355.0685729148051	2319.6172789016427
27	2.7	790.6278830574512	-42.71764973794726	534.8386893191486	3663.8757410361613	368.3133934486769	2411.469806703838
28	2.8000000000000003	790.678862724606	-51.46512530575893	540.4855117723963	85.27733085415899	381.5665989167872	2490.811573776107
29	2.9	790.6379621417711	-38.973053440116644	532.441887256727	5631.966125859848	394.91398861518985	2591.513334193279
30	3.0	790.4841213204155	-52.06936941645973	540.7483293939031	1605.404474523141	408.470598462438	2634.1949132515724
31	3.1	790.4671332676079	-52.411690971518134	540.9571274699566	1248.7367360311825	421.82822489391333	2719.0711349667904
32	3.2	790.5917312720516	-37.18505405597149	531.264683724363	2787.942510956429	435.21814274302545	2765.393401320034
