s	t	H	V	T	P	T_avg	P_avg
0	0.0	2246.12358356461	-653.2439381212399	1860.8054691926834	0.0	0.9304027345963416	0.0
1	0.1	2249.2289584731325	-145.61641014801205	1537.0046489345493	3906.05196802029	39.50739159147589	59.053633312236535
2	0.2	2248.2604538187065	91.00849481304142	1384.5179038945303	43294.486623378114	76.05859870964026	506.72654629709217
3	0.3	2244.337279380293	88.83907425054115	1383.3923498626564	18198.129400891867	110.19384901983504	1637.4394846097814
4	0.4	2247.8917872379525	-4.952171758183049	1445.868565741603	9232.873219112296	145.96687485482707	1997.789193115245
5	0.5	2247.0033331635673	-43.44692156712147	1470.004174716848	226.74819360532945	182.06453766194463	2219.387676869764
6	0.6	2246.2622076653133	69.00778475482008	1397.35542585511	35069.233702794074	217.89773434971093	2585.1073927889197
7	0.7000000000000001	2248.476837796446	50.84357171230022	1410.4345069132103	23084.663464351273	253.2943305964993	3007.319173519383
8	0.8	2255.371581181644	15.272593658673419	1437.6888808811684	8147.1199525161555	288.69338544423556	3491.4924627483774
9	0.9	2256.0365234126193	-6.971612902892133	1452.3919045747366	9489.829371958944	324.7409693991385	3778.730940331928
10	1.0	2256.437034057982	109.71419372907305	1377.76034678149	19015.389529609914	360.4913787861078	4184.252270610438
11	1.1	2255.8051046218434	-8.819695537218905	1453.4294746307662	11226.047343102236	396.14148696061056	4655.605170847981
12	1.2	2255.9704084454515	-15.10844243420657	1457.571665225613	5356.600902328291	432.02340303490723	5027.836677984137
13	1.3	2255.2800070005997	5.234639597880452	1444.0724379640399	13534.38333583996	467.9721557660454	5322.89643491731
14	1.4000000000000001	2255.9652366230703	71.71781116154295	1401.8435141349553	17479.097613086444	503.9128840112418	5676.58668350654
15	1.5	2255.638416337816	-24.536214392305112	1463.4093097345344	2258.330615953064	539.6377714849725	6108.082089536977
16	1.6	2255.8214336915266	22.548703865988593	1433.307808953414	13510.621040712234	575.2806977776073	6489.400300189771
17	1.7	2255.5130489246894	6.350048891848218	1443.506137205193	14211.157069788824	611.1372656640849	6871.794411729798
18	1.8	2255.209845265895	21.867806395106683	1433.352291292925	16881.966874961374	647.0193087547984	7241.123744467319
19	1.9000000000000001	2255.412965266383	-10.141539093702313	1454.026156027331	5864.040981515315	682.9277661954674	7560.345187585608
20	2.0	2256.0382116031333	-18.011695664889654	1459.4784803966452	6918.787293068003	718.938896392381	7871.702245245027
21	2.1	2254.709623563954	82.33087741947682	1394.2262309792072	24235.494711392537	754.875880253026	8204.582669390005
22	2.2	2255.9233941266903	13.276716564340381	1439.323980786105	5967.202343038036	790.6930890483709	8578.541344376552
23	2.3000000000000003	2255.829287430687	4.475018588889377	1444.9124870224134	11768.612140116556	826.6140438175001	8967.13470612843
24	2.4	2256.1945512726993	-1.7980790342213453	1449.172967706006	11049.225155870858	862.4594635048588	9287.860805890712
25	2.5	2255.6305797856126	-12.478074680433021	1455.665401983824	7902.86983967988	898.3763352412748	9633.873216390843
26	2.6	2256.171732239681	90.28260917846481	1390.0612101475917	31715.8623544716	933.904499893409	10110.962128045052
27	2.7	2255.630954334304	-6.7581988947114695	1451.994643067158	8644.786448119165	970.0348734700414	10391.446414265296
28	2.8000000000000003	2253.791533789994	12.272292203603993	1438.6003957233147	12533.903193141576	1005.7057106642283	10776.433232011697
29	2.9	2252.416511176383	41.93775970836403	1418.6787013031812	15920.338944975252	1041.4040285180965	11190.496366894144
30	3.0	2252.556551412008	86.51256498179157	1390.1606009981333	20334.566306061755	1077.112266551055	11549.13312857957
31	3.1	2254.803229111073	30.478921429752496	1427.5647381829574	17266.06495348037	1112.9685325227035	11877.349108227583
32	3.2	2255.361288510017	29.531887043578926	1428.530702906659	7750.786444275024	1148.843990366181	12278.58281005022
33	3.3000000000000003	2254.385690529706	40.842608490494285	1420.6453795678858	14389.85169143883	1184.738087181874	12556.645296454515
34	3.4	2254.241212691777	20.624706810501717	1433.5284434055518	15719.577278184264	1220.6024229504624	12874.170175239115
35	3.5	2254.393527162825	15.92454649187684	1436.6427473219085	19235.83229415371	1255.8754628153958	13402.714052521094
36	3.6	2253.448424614417	71.57924186490794	1400.3171650217466	34995.90119146337	1291.6681249287983	13759.082134374177
37	3.7	2252.930227929037	19.15054383359957	1433.6331706990372	11959.923164182608	1327.3171637441353	14149.937735928474
38	3.8000000000000003	2253.272610083543	27.217622820341532	1428.6754832014128	25043.17534325122	1363.0842878998237	14534.261164804731
39	3.9	2254.066737157524	26.087730499873977	1429.9103131376817	266.12023485247477	1399.1424998807881	14734.541347917986
40	4.0	2253.0314678401264	9.646083249797442	1439.7980807639497	13989.671953977793	1434.9159082554877	15145.947062117377
41	4.1	2255.1767475539045	113.43783855246969	1374.5616744493766	20881.746115117254	1470.6765449826898	15549.387904195635
42	4.2	2253.1378474640014	32.75818264470892	1425.0330781030357	13292.280876940025	1506.2791215542816	15970.710498151126
43	4.3	2255.1920258442806	32.48290341517489	1426.5281170824585	9492.15858532351	1542.4561082163593	16157.804664332923
44	4.4	2254.506302522194	22.87101779958474	1432.2569015468007	17268.4716710428	1578.3030941578231	16499.372636493998
45	4.5	2254.2911422023676	52.025597306124496	1413.407489704769	6477.848857577501	1614.2012943443544	16848.28413146253
46	4.6000000000000005	2254.6918886654953	11.395564336152791	1439.7409221528071	10730.965650502774	1649.960361040571	17215.615756302468
47	4.7	2254.4409973985976	-4.364625944096218	1449.6947442231487	10038.611739502832	1685.9983797086095	17487.25176252113
48	4.8	2255.2873116022074	78.29466438660513	1397.1874189911607	35240.54718330981	1721.7621233065024	17880.254928376224
49	4.9	2255.3360874116597	-26.3187115689906	1464.359277324124	2238.845040962359	1757.9026060989645	18124.515718804927
