0.35	-75.39594621705389
0.351	-78.16726137689366
0.352	-80.74808428354928
0.353	-83.14761742948505
0.354	-85.3746398463151
0.355	-87.43752689075018
0.356	-89.34426907252168
0.357	-91.10248997269265
0.358	-92.7194632982083
0.359	-94.20212911612153
0.36	-95.55710930864336
0.361	-96.79072228801446
0.362	-97.90899700815008
0.363	-98.91768630808419
0.364	-99.82227962041597
0.365	-100.62801507623675
0.366	-101.33989103638669
0.367	-101.96267707734738
0.368	-102.50092445861665
0.369	-102.95897609703563
0.37	-103.34097607222677
0.371	-103.65087868606926
0.372	-103.8924570979668
0.373	-104.06931155655477
0.374	-104.18487724744598
0.375	-104.24243177562012
0.376	-104.2451023001222
0.377	-104.1958723378438
0.378	-104.09758825231773
0.379	-103.95296544265595
0.38	-103.76459424700369
0.381	-103.53494557416468
0.382	-103.26637627637088
0.383	-102.96113427552592
0.384	-102.62136345463838
0.385	-102.24910832558268
0.386	-101.84631848377336
0.387	-101.41485285981827
0.388	-100.95648377772034
0.389	-100.47290082872843
0.39	-99.9657145694923
0.391	-99.43646005275339
0.392	-98.88660019840275
0.393	-98.3175290123559
0.394	-97.73057466033322
0.395	-97.12700240329069
0.396	-96.50801740092122
0.397	-95.87476738933515
0.398	-95.2283452387366
0.399	-94.56979139663203
0.4	-93.9000962218424
