s	t	H	V	T	P
0	0.0	206.59232399961164	-102.52725377105835	918.481608565227	0.0
1	0.02	206.59720868152345	-43.01595903509177	741.6712505136314	0.0
2	0.04	206.71345592056414	-48.460478591599745	758.1938598807443	0.0
3	0.06	206.79435562725436	-36.40325538735232	722.6088188100211	0.0
4	0.08	206.81063237181627	-30.36626828028516	704.7195871465331	0.0
5	0.1	206.8199368713329	-18.25313969681762	668.755705807819	0.0
6	0.12	206.81340839448904	-13.767868558652191	655.4092999751638	0.0
7	0.14	206.81467780446226	-9.82805396905014	643.7067693943409	0.0
8	0.16	206.81433174141299	-7.1742422871516895	635.8205167909099	0.0
9	0.18	206.81402962490534	-5.511233754902193	630.878350878185	0.0
10	0.2	206.81385462158477	-4.456793282092249	627.7447903126591	0.0
11	0.22	206.81375707702077	-3.7834301261974965	625.7437482825044	0.0
12	0.24	206.8137019204302	-3.3654797550651185	624.5017357504578	0.0
13	0.26	206.81366275247805	-3.1331475134205005	623.811294635048	0.0
14	0.28	206.8135964298193	-3.035243107653743	623.5201959188634	0.0
15	0.3	206.81343524838474	-2.9787046466127154	623.3517252603511	0.0
16	0.32	206.91500253737462	11.990675932396734	579.1752510138845	101693.14393926172
17	0.34	206.872033285172	-2.747378832564609	622.838502229165	0.0
18	0.36	206.94163270299137	14.397739500357666	572.1023107742678	119969.51799081215
19	0.38	206.85370028853092	-3.2409710473355418	624.2506316526762	0.0
20	0.4	206.85329297863413	-3.154290708979849	623.9918696427449	0.0
21	0.42	207.03301002408574	19.83330759819236	556.2232099534798	156077.8003622987
22	0.44	206.91141842906907	-3.5791716352538394	625.4270180633861	1645.7312246191202
23	0.46	206.97818699798344	8.35714561080496	590.1592351537743	78888.68719022178
24	0.48	206.96214519332705	-3.268338358910985	624.6541681218167	0.0
25	0.5	206.98496021111822	8.200144623591225	590.6458545780838	72388.59172094302
26	0.52	206.7818288004241	6.598847768680941	594.800199170249	67005.05546673948
27	0.54	206.8716704646444	4.1635451646761155	602.3031162810486	56221.98637585636
28	0.56	206.79311687635717	15.885403716173531	567.2407575587457	121184.47485148151
29	0.58	206.75062712592162	0.18355032906020963	613.769151540941	33416.63999151504
30	0.6	206.83607139188976	-3.296667066359654	624.3637398292981	10574.969686327053
31	0.62	206.84732485031094	-0.9232329451900805	617.3450336364072	24036.94060821254
32	0.64	206.90564036138764	0.8818834971826099	612.1547945037365	23269.602071514513
33	0.66	206.89425171551025	1.750391390125793	609.5403732685132	34359.76010468578
34	0.68	206.89411036014988	-3.628130606882826	625.5210618384297	7427.659885348135
35	0.7000000000000001	206.88765149041265	-3.9943573381228927	626.5900338088442	297.03091280943886
36	0.72	206.89614953135336	-4.396374286295762	627.8097898341998	0.0
37	0.74	206.92656829445596	3.3926232896973803	604.7568599627359	47088.91325022774
38	0.76	206.93359290127393	-1.781140372156497	620.1504457620016	6716.902801005345
39	0.78	206.94309056276728	-2.75411286330169	623.0696421864747	0.0
40	0.8	206.96256183554038	0.6975584739136057	612.871606012767	0.0
41	0.8200000000000001	206.96764496928975	0.8078807239119956	612.5589108626458	27988.17553831464
42	0.84	206.95099691409055	-0.49967870614643717	616.394573309673	16645.61157744874
43	0.86	206.93402483347828	-2.0232559702291666	620.8711230072572	6057.15265129209
44	0.88	206.97512066493059	4.905417445297271	600.4061838915877	53272.144145194354
45	0.9	206.89440262275832	-3.0249717954389164	623.7297749794157	645.2109277812192
46	0.92	206.88927585352803	-0.5570484999214057	616.3816444665788	4622.320198693704
47	0.9400000000000001	206.96233922301874	-0.5075211951454195	616.4515767650582	9076.398630479534
48	0.96	206.8609121432635	-1.2420391874032624	618.3326687485456	0.0
49	0.98	206.9679395178684	1.9405169700245324	609.194403731467	33036.7512919074
50	1.0	206.95292448246587	-2.82063386809465	623.2965142415371	0.0
51	1.02	206.947143885891	-3.2496543463330987	624.5540795181296	0.0
52	1.04	206.94442093324233	-4.3369596861468915	627.7766802436131	0.0
53	1.06	206.94897104011827	-2.8438834586705855	623.3538485501296	7466.219383875854
54	1.08	206.93924963994036	-3.434351002773977	625.0794094359446	1071.2376162696091
55	1.1	206.95529305394817	-3.3348452843998477	624.8314193470547	3264.0745928425745
56	1.12	206.95174269042914	-4.490398871875138	628.2543464286797	246.16117196208893
57	1.1400000000000001	206.9388120413721	0.44149720330574205	613.5618690498325	47587.26973387226
58	1.16	206.88251888254112	1.502541365580175	610.2419441605709	1113.82113791145
59	1.18	206.8908933960387	-7.582173914322148	637.2600832266966	0.0
