s	t	H	V	T	P
0	0.0	-501.88857539340006	-501.91486567707256	0.016873026023275717	0.0
1	0.02	-501.88862960659884	-513.4893543003194	7.445310673867995	0.0
2	0.04	-501.8903916451546	-545.1622401218605	27.77174390803427	0.0
3	0.06	-501.89912654007037	-584.3133653732694	52.89321385203309	0.0
4	0.08	-501.8911957584302	-602.8052749458839	64.76635647810907	0.0
5	0.1	-501.90787479737014	-631.0156399578447	82.86098044795796	0.0
6	0.12	-501.90836100588683	-608.3824261286472	68.33473894762001	0.0
7	0.14	-501.9024039759386	-584.5637330294192	53.05179562196904	0.0
8	0.16	-501.8832770655366	-592.3898761442385	58.086866636952685	0.0
9	0.18	-501.9182062480727	-644.9781861501956	91.81547045463161	0.0
10	0.2	-501.895858296059	-635.888085762504	85.99581385732534	0.0
11	0.22	-501.8947817571119	-619.8855749545147	75.72614084069174	0.0
12	0.24	-501.8926874783983	-599.9012184376124	62.90158424979651	0.0
13	0.26	-501.89360065009885	-583.007553097523	52.0586939092975	0.0
14	0.28	-501.894388324093	-572.2374080220483	45.14594124216948	0.0
15	0.3	-501.8948931577316	-558.4970173364072	36.32707528515084	0.0
16	0.32	-501.8947544379943	-546.8949419150233	28.880986748193507	0.0
17	0.34	-501.89313672011184	-542.8557129108866	26.28965980956262	0.0
18	0.36	-501.8948302163501	-542.6447404176331	26.153171408765655	0.0
19	0.38	-501.8955683299532	-543.9910132541652	27.016731599975596	0.0
20	0.4	-501.89303156028996	-538.9921379603023	23.81009636583227	0.0
21	0.42	-501.89202659568366	-540.7746551772975	24.95475560793509	0.0
22	0.44	-501.90239589672603	-550.5204222187452	31.20290498003641	0.0
23	0.46	-501.89271425755624	-541.3073344245449	25.29618622831203	0.0
24	0.48	-501.89381732667545	-546.4692233057154	28.60836324366787	0.0
25	0.5	-501.8980111731934	-559.6170108877462	37.04388268884255	0.0
26	0.52	-501.8958449207117	-567.3727703510909	42.02289638532163	0.0
27	0.54	-501.90945152685424	-564.7551409587759	40.33417693183899	0.0
28	0.56	-501.905163573626	-545.6787635333577	28.09376652048567	0.0
29	0.58	-501.90332035164556	-545.4758998235093	27.964752168063345	0.0
30	0.6	-501.90087853952264	-552.6757691436325	32.58717407403758	0.0
31	0.62	-501.89293105922144	-551.8579766699577	32.06741796116244	0.0
32	0.64	-501.9047668882672	-549.2187406558857	30.3659679214559	0.0
33	0.66	-501.9011044100258	-547.3407102956669	29.163004178510114	0.0
34	0.68	-501.90112900567595	-551.1159897603468	31.58595154732185	0.0
35	0.7000000000000001	-501.88688880707264	-539.6777759895667	24.25407921860834	0.0
36	0.72	-501.91100692632335	-568.1935663163855	42.53994986927374	0.0
37	0.74	-501.8827691477403	-546.737242451781	28.787467824494613	0.0
38	0.76	-501.9099633026086	-562.2155742215052	38.703962081923216	0.0
39	0.78	-501.9016263784008	-564.6488819754646	40.271002388809514	0.0
40	0.8	-501.8976530112406	-565.7438481163714	40.976298503092366	0.0
41	0.8200000000000001	-501.89841363925075	-558.8053231398504	36.52268560006399	0.0
42	0.84	-501.90460170070935	-548.8895266638215	30.15478537544299	0.0
43	0.86	-501.8987745163135	-549.4937534064659	30.5463161749875	0.0
44	0.88	-501.8835375524273	-561.1175127175026	38.016189436069176	0.0
45	0.9	-501.89740205894	-571.6866031795157	44.79050212311318	0.0
46	0.92	-501.9024461026617	-561.2752046418007	38.10526019359097	0.0
47	0.9400000000000001	-501.8775202227739	-539.1546730425868	23.924366029563007	0.0
48	0.96	-501.9021416326849	-558.6444342041991	36.417034943611206	0.0
49	0.98	-501.89595819532906	-546.4998167575576	28.626624027102157	0.0
