s	t	H	V	T	P
0	0.0	90.82741009333301	-665.0533468813238	485.1220261369639	0.0
1	0.04	91.1617026668107	-408.69660102180796	320.80757557231846	0.0
2	0.08	91.52747570566959	-393.7080074660205	311.4226927696366	0.0
3	0.12	91.58952819319018	-309.1714812779225	257.2072262951385	0.0
4	0.16	91.58232481588902	-249.31156592011723	218.78468719519054	0.0
5	0.2	91.57556552628111	-213.13600224294638	195.56297971550902	0.0
6	0.24	91.57224521294688	-188.22271047908708	179.5715720446267	0.0
7	0.28	91.57349770928604	-171.84689027908175	169.06242309722762	0.0
8	0.32	91.57464801316706	-156.55294212744647	159.24755083232316	162464.1015016639
9	0.36	91.56697433216428	-147.20215923409518	153.24132118171485	275490.3930091212
10	0.4	91.56658073411396	-145.5233891796424	152.16363893381876	142491.82755250004
11	0.44	91.58237350817649	-143.8549689057151	151.1029875099184	92817.72908732026
12	0.48	91.55775413383657	-146.96048366833443	153.08029702505962	0.0
13	0.52	91.53291893894547	-141.36084855823583	149.4705286784958	106846.7727807193
14	0.56	91.45756802193188	-131.12616171571594	142.8535770478285	251619.9619682475
15	0.6	91.50090369406212	-139.0066315426247	147.93905189679057	90748.54506179964
16	0.64	91.49849760848525	-139.3455243977133	148.15500810666575	50628.679791314935
17	0.68	91.49600816039487	-143.87057830787566	151.05757655404446	48914.85490617529
18	0.72	91.5051157525699	-140.23735925983846	148.731632579163	0.0
19	0.76	91.53632615898363	-144.25618215061104	151.3309319275377	110461.14919767118
20	0.8	91.55161066935412	-135.4353222863286	145.6795398030856	183986.51572581474
21	0.84	91.53162628506155	-140.5088942337157	148.92291730045872	37100.89264884162
22	0.88	91.5727692828851	-137.9196890031439	147.28757852292276	122687.0609401059
23	0.92	91.57754155869884	-132.979931527835	144.12031967045894	79245.88577072276
24	0.96	91.59562139962844	-132.64360449533976	143.91606956756885	25829.915628319573
25	1.0	91.58728237913846	-131.5029814984297	143.1786691552784	109871.62088769511
26	1.04	91.59421314380168	-136.62317376122408	146.46924149540362	24561.416780531796
27	1.08	91.56465990373746	-132.53067286272616	143.8237193848142	97134.53099454714
28	1.12	91.55681362098034	-140.07171589468606	148.65850269757973	13111.712956647441
29	1.16	91.56717608158326	-133.4739450136777	144.43072352684217	47003.35066416481
30	1.2	91.57643355896559	-135.27531776726295	145.59278063456304	38081.867501689594
31	1.24	91.54529946997411	-130.1805870430702	142.3030158126237	6282.334833436686
32	1.28	91.50310858308427	-118.77104033957801	134.9533246194383	13039.194433932527
33	1.32	91.57033692508325	-126.54194683178686	139.9838162900089	475.9465523859182
34	1.36	91.57568085338484	-118.54103444799416	134.85228418861067	22522.707544705994
35	1.4000000000000001	91.56175949980522	-118.80015690990305	135.0096535321032	1299.2394050236906
36	1.44	91.58958607033567	-118.59341692792326	134.89482743570568	0.0
37	1.48	91.56519280487858	-113.03393876555425	131.3111153279954	0.0
38	1.52	91.55550490668713	-116.05359200975548	133.2429021525504	15.375735602366548
39	1.56	91.55745835743532	-109.904030752065	129.2973857100684	56809.338152427175
40	1.6	91.5778379482831	-107.68277816262881	127.88487195245048	0.0
41	1.6400000000000001	91.57386753024426	-101.83344840599884	124.12824127476492	48979.930371162605
42	1.68	91.57450279657644	-105.50449910782007	126.48471843041894	0.0
43	1.72	91.58915982044613	-109.58410436226069	129.11240380759364	0.0
44	1.76	91.56381595186761	-101.11041347481967	123.65774852896095	2384.8665131301514
45	1.8	91.58012134921736	-103.46516909769426	125.17948845369378	131233.51276950623
46	1.84	91.54686801465625	-103.98437831747005	125.49137349835623	50767.672682654265
47	1.8800000000000001	91.54568084513302	-98.62992999887565	122.05414253927552	5120.279846767609
48	1.92	91.55035846094472	-102.95937017106155	124.8357664706017	0.0
49	1.96	91.55505682893019	-99.2752213953512	122.47430612067798	10968.446409220185
