s	t	H	V	T	P
0	0.0	-213.20217593255774	-666.765875394597	291.0958359964953	0.0
1	0.04	-212.84087097705537	-478.17682005202244	170.29182451662547	0.0
2	0.08	-212.87264572433537	-460.32509128221943	158.81424504316666	0.0
3	0.12	-212.8000962914993	-417.26876267812725	131.2273831602907	0.0
4	0.16	-212.7788891878482	-368.1285365172708	99.70294252991422	0.0
5	0.2	-212.77587196490515	-338.94025541025024	80.97192680006103	0.0
6	0.24	-212.7812186696863	-322.81464566261485	70.61912683059995	0.0
7	0.28	-212.77867895976135	-318.059991103186	67.56923362594442	0.0
8	0.32	-212.77782602697607	-311.5804682928433	63.41124252923689	0.0
9	0.36	-212.79423213893153	-320.9203100286143	69.39499583774267	0.0
10	0.4	-212.7796824632868	-321.3938843637834	69.70827237897896	0.0
11	0.44	-212.80949402720867	-334.66244290346043	78.20486089129676	16547.365225857255
12	0.48	-212.80359361221426	-343.980581300262	84.1890013240579	0.0
13	0.52	-212.8046027271217	-342.9551020025634	83.5302041077845	0.0
14	0.56	-212.8183621993449	-357.89306262093714	93.10851210370942	0.0
15	0.6	-212.8612120160739	-365.21299258431054	97.77892054118678	2129.885060636057
16	0.64	-212.82033458290286	-356.3364530501904	92.10821883179305	0.0
17	0.68	-212.7840779731658	-347.0534587733684	86.17369004425356	0.0
18	0.72	-212.81735878431434	-356.6891863356351	92.33651186607028	0.0
19	0.76	-212.80052938551495	-358.1359253084166	93.27582570262439	0.0
20	0.8	-212.78222004643317	-347.6065062635429	86.52982669369256	0.0
21	0.84	-212.77627196789985	-348.2066440607875	86.9188108097153	0.0
22	0.88	-212.79898728673717	-360.7138554231209	94.93132331256075	0.0
23	0.92	-212.81794110016872	-367.7873196180379	99.45888713541542	0.0
24	0.96	-212.80995625845645	-362.59410366186114	96.13102119753209	0.0
25	1.0	-212.8118282853023	-368.3865198029104	99.84737522189047	0.0
26	1.04	-212.7771922905642	-359.36611863438304	94.08033780590058	0.0
27	1.08	-212.81336820880912	-364.52514931988395	97.36817078929792	0.0
28	1.12	-212.80616942421966	-358.44480297034966	93.4704427091087	0.0
29	1.16	-212.82244861066397	-360.41403707682576	94.72384337980701	0.0
30	1.2	-212.79260705958814	-351.98270735541587	89.33179321031864	0.0
31	1.24	-212.8214339713567	-368.5930364190612	99.97375207233343	0.0
32	1.28	-212.80207675010638	-355.20303355020127	91.39251138393576	0.0
33	1.32	-212.80063948956985	-356.83684928917575	92.44201190508201	0.0
34	1.36	-212.82262420691825	-359.2598623684192	93.98298478074669	0.0
35	1.4000000000000001	-212.83027490956977	-350.35398648203073	88.26230987402228	0.0
36	1.44	-212.8057388326499	-354.4892822073539	90.93207757702622	0.0
37	1.48	-212.79149762572627	-352.7315921727623	89.81313729452775	0.0
38	1.52	-212.83477013498228	-352.2794459713047	89.49517903654869	0.0
39	1.56	-212.80215853172658	-351.0839573401929	88.74884801185163	18.586591871408807
40	1.6	-212.81291156701056	-355.48355342544113	91.5655944538664	0.0
41	1.6400000000000001	-212.8023678454948	-347.4355239311489	86.40715994265807	0.0
42	1.68	-212.78564805166724	-354.97129111981525	91.25432366989043	0.0
43	1.72	-212.78423532064176	-349.3020995588626	87.61676004057496	0.0
44	1.76	-212.8026723378218	-355.6156693770876	91.65695758637196	0.0
45	1.8	-212.82780394003922	-359.8477917039062	94.356991745763	0.0
46	1.84	-212.82638653386343	-362.5853997278004	96.11489013650187	0.0
47	1.8800000000000001	-212.81636719227367	-361.48425094869214	95.4146065023143	0.0
48	1.92	-212.80105243490289	-366.42822185313844	98.59746131936498	0.0
49	1.96	-212.79760155408624	-359.2346321206314	93.98285154692026	0.0
