s	t	H	V	T	P
0	0.0	-517.2562386558393	-668.4569521122042	97.04016908551304	0.0
1	0.04	-517.2336687988068	-595.4973827154558	50.22941928064116	0.0
2	0.08	-517.1693042660944	-584.6622366601367	43.31676367046439	0.0
3	0.12	-517.1468165820494	-580.5555035743955	40.69550709496742	0.0
4	0.16	-517.1455494186052	-572.4979012917479	35.524975129173	0.0
5	0.2	-517.1536748230062	-579.9631168965669	40.31091348483643	0.0
6	0.24	-517.158031302301	-582.5435131893099	41.96420819061945	0.0
7	0.28	-517.1698127497936	-584.625921281975	43.293130225226804	0.0
8	0.32	-517.1785306546603	-584.4420696776072	43.16953968580622	0.0
9	0.36	-517.1435489788673	-578.4584056284725	39.35169299613647	0.0
10	0.4	-517.1496687675086	-582.689166055249	42.063054817643234	0.0
11	0.44	-517.1484972016688	-581.0728891688227	41.026485017026175	0.0
12	0.48	-517.133676300813	-569.5300057861621	33.62780873508165	0.0
13	0.52	-517.1369755630428	-571.5777351514988	34.93991790675073	0.0
14	0.56	-517.1422449207938	-575.1899517808621	37.25484595912928	0.0
15	0.6	-517.130273225468	-573.1588088531984	35.958947855743524	0.0
16	0.64	-517.1530890161699	-581.3009588253395	41.16991243268005	0.0
17	0.68	-517.1615681164989	-580.7550563359463	40.81411197397344	0.0
18	0.72	-517.1501559259286	-578.5692040835169	39.41856279668717	0.0
19	0.76	-517.152086314716	-575.3102927785332	37.325764276818084	0.0
20	0.8	-517.1474425410784	-577.3303318013689	38.62519968570593	0.0
21	0.84	-517.1585660851881	-582.6693303798729	42.044614067988626	0.0
22	0.88	-517.1458984668623	-574.6831853946071	36.92725996164935	0.0
23	0.92	-517.1476029455155	-580.1080606150525	40.407834846072696	0.0
24	0.96	-517.1478597051741	-579.8758976099793	40.258668530962055	0.0
25	1.0	-517.1426310297587	-581.9429439888113	41.5886485096206	0.0
26	1.04	-517.1447970171487	-583.5456705400403	42.615883528530546	0.0
27	1.08	-517.1227344098061	-572.1832541241172	35.33767811588359	0.0
28	1.12	-517.1511465864688	-582.9322606182885	42.218123726799625	0.0
29	1.16	-517.1542660676236	-578.6597327168813	39.47402592812371	0.0
30	1.2	-517.1575603255675	-583.1370400578826	42.345434244566476	0.0
31	1.24	-517.1578065811201	-588.4214841511064	45.736816731639806	0.0
32	1.28	-517.1514072682387	-576.4881534455279	38.08214756665175	0.0
33	1.32	-517.1536656767057	-582.9503309917193	42.22810449419242	0.0
34	1.36	-517.1573552773926	-580.8582583307272	40.883050495521566	0.0
35	1.4000000000000001	-517.1654277119017	-577.3976553440727	38.656864906327186	0.0
36	1.44	-517.1488246868912	-581.7654284317058	41.47074448122876	0.0
37	1.48	-517.1334300131298	-577.4679762829433	38.7225327042525	0.0
38	1.52	-517.1564573284545	-580.8474377979929	40.87668221069454	0.0
39	1.56	-517.1648970414615	-587.6383143776518	45.22963005932793	0.0
40	1.6	-517.1590038732928	-584.4045888752544	43.15801684843101	0.0
41	1.6400000000000001	-517.150912704095	-584.2295391175688	43.05086332192464	0.0
42	1.68	-517.1494717133268	-578.0792552835786	39.10455423682427	0.0
43	1.72	-517.1680783199694	-583.6306080172375	42.65545427823064	0.0
44	1.76	-517.1587935905901	-580.7611147079442	40.819780901631205	0.0
45	1.8	-517.1557324050492	-582.5203310970348	41.95080541804135	0.0
46	1.84	-517.1535380300498	-577.4351128752993	38.68853580120299	0.0
47	1.8800000000000001	-517.1495694602067	-584.3408894567674	43.12318972904012	0.0
48	1.92	-517.1480905871367	-583.7269486855932	42.73011350081446	0.0
49	1.96	-517.1466877330274	-589.4555311363571	46.40760106110204	0.0
