s	t	H	V	T	P
0	0.0	-365.22608655292186	-667.6136863103317	194.0714639437849	0.0
1	0.04	-365.1027313440444	-533.1846769967102	107.8744938003471	0.0
2	0.08	-365.0124993648984	-509.0237402834998	92.42598695136874	0.0
3	0.12	-364.9813998321626	-486.22890828666976	77.81629102575671	0.0
4	0.16	-364.95139992708897	-458.34902139283236	59.94231622350157	0.0
5	0.2	-364.9692497468575	-446.82639127923926	52.53567045800675	0.0
6	0.24	-364.9613522476574	-438.5260985789544	47.213635832360715	0.0
7	0.28	-364.96515467735645	-452.0367063413559	55.88226340248661	0.0
8	0.32	-364.9892438528495	-459.00977938762895	60.34210062400608	0.0
9	0.36	-364.9894197784843	-475.4892643132879	70.91847222450289	0.0
10	0.4	-365.0259798822075	-475.13518021022924	70.66775793214394	0.0
11	0.44	-364.98882599144207	-480.0978246909991	73.87661368603742	0.0
12	0.48	-364.99330733107587	-481.95872548180995	75.06805817937206	0.0
13	0.52	-364.97427381399547	-471.47087612697885	68.3492032494077	0.0
14	0.56	-364.9851075423766	-465.9969960243889	64.82913019302835	0.0
15	0.6	-364.9770773310194	-467.4655339163536	65.7767872188266	0.0
16	0.64	-364.9720145472172	-461.65942932943847	62.053695808886474	0.0
17	0.68	-364.97426857427587	-466.3398451937127	65.05612618977091	0.0
18	0.72	-364.99382892863383	-468.6419352770317	66.52104699455938	0.0
19	0.76	-365.00357493256257	-465.84570472878613	64.72017957238576	0.0
20	0.8	-364.98185649584644	-471.409477616558	68.30493132496528	0.0
21	0.84	-364.98725158869524	-472.7059516984156	69.13354198778683	0.0
22	0.88	-364.98288748821267	-481.9096244690891	75.04323271937517	0.0
23	0.92	-364.9776984303378	-474.04075678634797	69.99634711978189	0.0
24	0.96	-364.96561391132514	-477.628978148498	72.30701274748357	0.0
25	1.0	-364.97895843218197	-482.3901377752826	75.35414638947493	0.0
26	1.04	-364.96646803372147	-469.75389601860047	67.25226023899174	0.0
27	1.08	-364.989857752313	-488.6222118233185	79.34687786346117	0.0
28	1.12	-364.9873125268183	-479.73154822149235	73.64250987223363	0.0
29	1.16	-365.0145414662453	-481.0457345484308	74.46847530344837	0.0
30	1.2	-364.97981216667773	-471.24594127660345	68.20128623180152	0.0
31	1.24	-365.00902579637176	-472.0010137983642	68.6671403141548	0.0
32	1.28	-364.976908687677	-475.5363293956859	70.95670803562545	0.0
33	1.32	-364.9852180488955	-475.71079381340917	71.0633458576903	0.0
34	1.36	-364.9661523067543	-466.9777074219898	65.47071327090927	0.0
35	1.4000000000000001	-365.00368707224607	-475.4445888584627	70.8806429434202	0.0
36	1.44	-364.99389878202624	-474.6214833496213	70.35865836668758	0.0
37	1.48	-365.0097910502308	-484.47840726272216	76.67460326513687	0.0
38	1.52	-364.99930158617826	-482.3800532188452	75.3346179752375	0.0
39	1.56	-364.99375682822176	-483.7658695452549	76.22758938919091	0.0
40	1.6	-364.97268798355856	-477.35073234972265	72.12389530118833	0.0
41	1.6400000000000001	-364.9870944053104	-477.05976681748876	71.9279084875593	0.0
42	1.68	-364.97725318799183	-476.882297599977	71.82032533460742	0.0
43	1.72	-365.0042214950114	-478.5047849048934	72.84432469146061	0.0
44	1.76	-364.97460988625096	-480.5479570883209	74.17463117661929	0.0
45	1.8	-364.98736577848604	-485.56177100199375	77.38429537008115	0.0
46	1.84	-365.0098175680631	-482.3753760221813	75.32486703834299	0.0
47	1.8800000000000001	-364.9726726526517	-477.716151526769	72.35843008366939	0.0
48	1.92	-364.97105783006407	-474.22066258103655	70.11607204234096	0.0
49	1.96	-364.97218211766676	-474.52101171012333	70.30811365741297	0.0
