s	t	H	V	T	P
0	0.0	-61.18435997691472	-665.9125346467774	388.1127474816608	0.0
1	0.04	-60.714985359797026	-436.92804292590455	241.45242362846852	0.0
2	0.08	-60.68022357748231	-424.53740039331393	233.52245603904154	0.0
3	0.12	-60.622635214637626	-360.69133547838754	192.58320113196947	0.0
4	0.16	-60.60785919993518	-301.23643158508224	154.43470349628373	0.0
5	0.2	-60.60052611845748	-267.6480853706629	132.88250894646157	0.0
6	0.24	-60.60542309969932	-249.93872540758775	121.51355142102747	0.0
7	0.28	-60.5915160116071	-228.6204424729758	107.84046624075008	0.0
8	0.32	-60.60710642618187	-222.2767508041933	103.75909787598006	0.0
9	0.36	-60.59472004835919	-208.30126536590774	94.79762234579931	30138.33504033177
10	0.4	-60.59947542117726	-203.59003398605526	91.77091604645199	0.0
11	0.44	-60.603770381799734	-198.94517468880204	88.78710264388435	71500.04002807179
12	0.48	-60.586107931147154	-199.92703610303218	89.42859409346813	1486.2675474953633
13	0.52	-60.572679923314894	-199.69404265394763	89.28767764501099	0.0
14	0.56	-60.5872218124409	-210.78848625774688	96.39872567689112	0.0
15	0.6	-60.568642953706444	-208.22655761954485	94.76641133788266	44010.32510166009
16	0.64	-60.60687348229206	-213.08528003113457	97.8601887196743	0.0
17	0.68	-60.58901997842625	-207.1252563921696	94.04652156517825	72959.31999966537
18	0.72	-60.604258903622394	-201.8324491017496	90.63983325992922	22600.567689966232
19	0.76	-60.57778773205615	-205.03313918773424	92.71101577580623	0.0
20	0.8	-60.56941116637199	-201.64678889410285	90.54304226408719	0.0
21	0.84	-60.56419710077981	-196.0534717014877	86.95661426439335	43649.38958791837
22	0.88	-60.57828286460983	-205.8762081751636	93.25177717484398	0.0
23	0.92	-60.58225758960782	-213.3657740413234	98.05600734967706	0.0
24	0.96	-60.594556173719866	-221.3761193991688	103.18913002836675	0.0
25	1.0	-60.584543954875585	-213.814942457047	98.3428149231746	0.0
26	1.04	-60.60512314658183	-217.65100185897418	100.79157879656148	0.0
27	1.08	-60.611520749292254	-209.7159760439768	95.69479681969325	4262.000840171077
28	1.12	-60.596480030297016	-215.42853825923729	99.37075538159023	0.0
29	1.16	-60.59644781932403	-216.05190031350986	99.7708479705966	16683.189347072363
30	1.2	-60.60448267661036	-218.97458295786413	101.64146026875493	23946.122781373026
31	1.24	-60.627099411056435	-223.3336390791622	104.42457419533463	0.0
32	1.28	-60.59512648690048	-219.7647039046946	102.15456232188953	0.0
33	1.32	-60.605551734679096	-214.08010540736106	98.49951298687972	0.0
34	1.36	-60.62159267177978	-221.999461773835	103.57183736995121	18282.20587670947
35	1.4000000000000001	-60.620159984306525	-217.7004550041279	100.81366708051111	5087.064672415502
36	1.44	-60.57442204217472	-210.17738272058514	96.01473609524938	0.0
37	1.48	-60.58839204123416	-209.49816945272084	95.56985313212142	1824.0395097733242
38	1.52	-60.5871868968012	-202.2316561841515	90.90699994374668	129.57164154097606
39	1.56	-60.58927402086721	-207.2087404655021	94.09993835195179	52873.402256148984
40	1.6	-60.57416264068124	-205.47752684836834	92.99854903020432	0.0
41	1.6400000000000001	-60.59039820860582	-209.73831757247447	95.72269193028073	2680.802076527452
42	1.68	-60.6142187003492	-209.47400375267	95.53776818440164	38364.993576317414
43	1.72	-60.55975655566715	-209.9382983482677	95.8707047204817	52268.324497019676
44	1.76	-60.59542798822255	-216.1389170278454	99.8273495641382	17127.00539515004
45	1.8	-60.581927491754925	-214.94637664238022	99.07064526313697	0.0
46	1.84	-60.578203778468065	-209.23921263786235	95.41019421381101	57267.53519115208
47	1.8800000000000001	-60.58719146831194	-218.13475433349595	101.11355819666844	4452.179944261709
48	1.92	-60.5769998825547	-211.9869845658832	97.17447873779606	0.0
49	1.96	-60.5571385253881	-209.67885083745816	95.70587232222708	17452.5400641467
