s	t	H	V	T	P
0	0.0	394.83281409410154	-663.3169380842222	679.1173700302118	0.0
1	0.04	395.25443060988	-365.2943420933556	488.117944775442	0.0
2	0.08	395.90569795562027	-344.273845628023	475.0450339887001	0.0
3	0.12	395.9170134002386	-250.52768456027172	414.8862883019721	0.0
4	0.16	395.9297750287284	-191.8889583355177	377.26031824420124	0.0
5	0.2	395.94165391534125	-149.19710636689567	349.86843820761294	0.0
6	0.24	395.93448988484244	-127.10528029505218	335.68537195661105	215613.66280602885
7	0.28	395.9603965828403	-112.82683779486437	326.53813678472824	238186.9899370598
8	0.32	395.9990571008478	-91.7936048806821	313.0638825392891	724132.4942889224
9	0.36	395.8051783315302	-93.83551658828983	314.24994459354673	530509.1544901199
10	0.4	395.94645713594184	-88.24865031307039	310.75498271898095	325245.5488814815
11	0.44	395.9658620045809	-89.08117023402829	311.3017455201664	683937.7369041542
12	0.48	395.9788763939299	-97.21410020371384	316.5297884300963	405216.89124508156
13	0.52	396.0072255484952	-99.18843178070426	317.81510297902895	304959.6846690272
14	0.56	395.9389850020883	-107.65223836904954	323.2033523440917	98248.17602713457
15	0.6	395.9367770895863	-107.0590216155258	322.82121056084213	103652.3158281991
16	0.64	395.90830436234813	-100.6638178967716	318.6985140852754	322028.3657565015
17	0.68	395.9770450636744	-93.33254568422386	314.0374429188276	15249.841152710831
18	0.72	396.0818895698919	-93.96520877847544	314.5107731076565	41764.01208687758
19	0.76	396.0355801579992	-101.19294388010032	319.1197907986198	62693.66078176467
20	0.8	395.98655249900173	-87.99542203365482	310.6181946459087	294724.51743792807
21	0.84	395.95687893335094	-94.20469891409212	314.58424571035255	181992.02943947312
22	0.88	395.97603305994807	-73.25137642919766	301.1487585971252	235454.33762505933
23	0.92	395.91067468958323	-86.7160881277532	309.7484237897065	8099.603508333806
24	0.96	396.03961953174	-75.0104097759356	302.31851058655474	15511.937325711933
25	1.0	395.86696441870606	-76.27185580921635	303.01729336729875	271691.0569113052
26	1.04	395.86916308755656	-81.04764994443498	306.0837949663804	180903.50254052662
27	1.08	395.89745907537946	-71.12577069166143	299.73412259416983	0.0
28	1.12	395.8665424757131	-76.46716761465652	303.14237310252366	86335.34593080783
29	1.16	395.7732974366505	-69.79976364228736	298.8034086346974	45348.74741089715
30	1.2	395.97137759979097	-76.30296682758815	303.1042723962321	150392.54796634873
31	1.24	395.9923843583783	-57.5901160618419	291.10790239564875	722532.8291467368
32	1.28	396.0356357267279	-78.02403939853963	304.25009233871964	3190.6731342839653
33	1.32	396.05580711029995	-77.97623036582279	304.23235457753566	26022.568601137224
34	1.36	396.0316669563094	-74.09008878586984	301.72274736762404	0.0
35	1.4000000000000001	396.02282984915945	-80.2048024884947	305.64148084245755	152327.11488740274
36	1.44	396.09601860510634	-78.14983701046623	304.3695824247558	94178.9044811955
37	1.48	396.17028644670324	-74.82208488591637	302.2815058693106	8630.674257102954
38	1.52	396.2148388526777	-61.66071002200623	293.86316815061946	80174.61930337021
39	1.56	396.16367269801054	-81.63727487644373	306.6512298913465	290.52843218322886
40	1.6	396.0761848590133	-77.58538684465151	303.9945907444299	6070.583935078223
41	1.6400000000000001	396.09413748010866	-67.83826073668067	297.7504360797685	111632.34493246283
42	1.68	396.17044490206604	-68.3480841894956	298.1266131353785	162952.31110388853
43	1.72	396.1573331001115	-58.68924422953853	291.91918320394706	6249.899777947422
44	1.76	396.161716953717	-58.03016830340436	291.4990037751281	243004.91916226989
45	1.8	396.1892402091514	-57.52340115816157	291.1914264691941	89449.75895952096
46	1.84	396.1755782907896	-60.95017505222553	293.3819516040209	420871.65102119104
47	1.8800000000000001	396.1168441634851	-69.80012352025301	299.02412687283635	34406.02441536474
48	1.92	396.12768012851575	-67.42093561001029	297.504125624405	73437.09511795142
49	1.96	396.1914736920624	-62.730676883434946	294.5348740155619	173706.07809173618
