s	t	H	V	T	P
0	0.0	184.94763283625923	-16.77556400689979	599.3766155402803	0.0
1	0.02	205.38895839939988	-34.389675468940645	712.4500716624045	0.0
2	0.04	213.34088460251024	-44.950913884181986	767.4579147143625	0.0
3	0.06	212.85626639313222	-34.56408549654717	735.1557751026709	0.0
4	0.08	211.99559848805586	-22.614451619222017	697.0927489036796	28611.55802451263
5	0.1	212.97730340121893	0.9609198566079193	629.9605816125478	570650.4309412629
6	0.12	207.33862139936795	-1.340957789945028	620.0459930451575	415806.5844008185
7	0.14	210.7475917007157	7.604442789127759	603.5956943488818	434122.0221061067
8	0.16	211.87683232610345	-0.5479875621145531	631.1741613947735	358905.3189227951
9	0.18	203.68385101653524	0.3808312610605622	604.0707157982341	265986.56991895527
10	0.2	205.8033277997798	7.654326660624735	588.7566701999823	574209.950979761
11	0.22	278.2805827475178	40.15597956111091	707.5354791532051	500602.4852823727
12	0.24	451.4174185279592	-8.21959855578224	1365.711450086142	127506.47594795335
13	0.26	453.9157608892602	1.3903565786968137	1344.58083912158	452284.02764070546
14	0.28	447.0677949718586	81.69849743628869	1085.6154195765027	2555351.0224381285
15	0.3	444.4334100372157	-11.594451572933869	1354.9876293923714	32788.86443407092
16	0.32	476.04906261427146	114.51556616279744	1074.2181707342754	3895105.4136761823
17	0.34	482.1452098478741	14.870037292540657	1388.4065681844972	0.0
18	0.36	571.9848356175078	15.63097569166656	1653.084517911905	1105370.3073287788
19	0.38	777.4201133245406	17.26497682748711	2258.635695494209	884502.7976515624
20	0.4	986.775539690321	196.2324696998466	2348.9268321388017	6173894.83796863
21	0.42	1050.3650296610242	-4.60129292500925	3134.6030294781935	142260.915774098
22	0.44	31628497.934992485	15765.111251755212	93930361.52706312	0.0
23	0.46	157042826.52286613	126598854.03307812	90457644.33684842	3777889289186.9634
24	0.48	152807646.41761386	119097289.2453305	100162996.15897357	3554048240980.1714
25	0.5	5002398782151.775	4121985.6776762465	14863527982546.977	3966702404.501993
26	0.52	25009994826211.0	20008411127607.113	14861118386605.115	5.970820376948741e+17
27	0.54	25008163526448.03	20005254225973.246	14865057124317.826	5.969878308510189e+17
28	0.56	20006854264879.883	847910.1489999057	59446014520567.914	25303192702.60359
29	0.58	25007896026353.242	20008453116786.78	14854757497486.174	5.970832907033002e+17
30	0.6	26096505332824.117	20874120374552.367	15517181317382.752	6.229161450573396e+17
31	0.62	20902412965947.938	3015713.6939621484	62106966024079.99	79791171663.61417
32	0.64	26219353256363.8	20979631844039.254	15568692820860.03	6.260647710203016e+17
33	0.66	26214703341042.066	20966509670782.312	15593866293056.871	6.256731850292452e+17
34	0.68	20973078260710.895	5758479.227147452	62316924432059.16	171842114274.36444
35	0.7000000000000001	26216613936476.445	20979638155331.016	15560534774837.484	6.260649593814296e+17
36	0.72	26210586532059.0	20961015386566.438	15597959161184.834	6.255092270620906e+17
37	0.74	20970336089109.03	10490338.538794324	62308762605727.125	313048052140.7923
38	0.76	26213871568890.227	20979640712170.18	15552378828779.982	6.260650356814578e+17
39	0.78	26206470307778.234	20955521310378.062	15602053148520.064	6.253452753028148e+17
40	0.8	20967594543305.797	16953765.19322072	62300597493843.82	505919862376.5199
41	0.8200000000000001	26211129511112.688	20979642324535.59	15544226609549.992	6.260650837969258e+17
42	0.84	26202372448466.11	20950041276190.87	15606159980613.092	6.251817425785096e+17
43	0.86	20964868800255.15	25876745.89463465	62292472028373.53	772202352559.2621
44	0.88	26208414784311.9	20979664569663.062	15536094292608.453	6.260657476260109e+17
45	0.9	26198264884788.156	20944546522096.457	15610281715296.754	6.250177705832028e+17
46	0.92	20962139086305.035	45103785.566872135	62284304147968.3	1345967109809.9685
47	0.9400000000000001	66740189473598.055	20979672715006.117	135967425112067.69	6.260656779559625e+17
48	0.96	228866277788815.8	183077927931503.38	136050125112722.89	5.463329475247626e+18
49	0.98	223626453478561.53	162130082382761.53	182723094578300.72	4.838213256583693e+18
