s	t	H	V	T	P
0	0.0	-638.0753149843531	-669.0812525186348	19.899518674228084	0.0
1	0.04	-638.0541979818539	-651.0943330149521	8.369119957062631	0.0
2	0.08	-638.0567628968056	-655.4731393664906	11.177778721017226	0.0
3	0.12	-638.0565034052174	-657.8984017645722	12.734471470103383	0.0
4	0.16	-638.054157155522	-657.4635553657795	12.456894158207723	0.0
5	0.2	-638.0551197549319	-655.2932092043674	11.063354640632529	0.0
6	0.24	-638.0572492286345	-655.4374869047147	11.154584950552803	0.0
7	0.28	-638.0575055094716	-656.2755970239263	11.692317057010563	0.0
8	0.32	-638.060019851282	-657.1236431793857	12.23497686520888	0.0
9	0.36	-638.0651212803108	-659.5047085626527	13.759863478438444	0.0
10	0.4	-638.0577637095222	-656.5255176974321	11.852549691398226	0.0
11	0.44	-638.0596103499578	-657.404848745014	12.415716579257879	0.0
12	0.48	-638.0594105187474	-657.2549819854662	12.319660788908946	0.0
13	0.52	-638.0563247306206	-655.2509753822669	11.035475749151248	0.0
14	0.56	-638.0576113319676	-656.0328969070601	11.536484925851646	0.0
15	0.6	-638.057067413991	-656.7199146554193	11.97775996240885	0.0
16	0.64	-638.0613056992881	-658.1229879084083	12.875528092495903	0.0
17	0.68	-638.0634251251379	-657.9318974630277	12.751526570647243	0.0
18	0.72	-638.0604560231945	-657.8579550873793	12.705976134254145	0.0
19	0.76	-638.0543761396251	-655.4277257992095	11.150164242011611	0.0
20	0.8	-638.0590796988622	-657.2559067562737	12.320466623288564	0.0
21	0.84	-638.0593473848238	-656.1911974301834	11.636967538136867	0.0
22	0.88	-638.065938985382	-658.6638301437202	13.21966540446899	0.0
23	0.92	-638.0607557971323	-656.3018093911834	11.707054051537007	0.0
24	0.96	-638.0611943557851	-658.4641442932636	13.094552707567415	0.0
25	1.0	-638.0574171309019	-657.3662695763085	12.39236418477758	0.0
26	1.04	-638.055043598802	-655.141805702274	10.966233199179811	0.0
27	1.08	-638.0588406610708	-657.7726156476704	12.652242269779121	0.0
28	1.12	-638.0531456024474	-654.6324022797655	10.640517723108298	0.0
29	1.16	-638.0627914594451	-657.951238843269	12.764346495835655	0.0
30	1.2	-638.0609825529757	-656.6635920085399	11.939099530245805	0.0
31	1.24	-638.0612400398923	-658.5601970715952	13.156169775661768	0.0
32	1.28	-638.0569872667846	-657.3072413507898	12.354755930368379	0.0
33	1.32	-638.0534485031503	-655.0458348835596	10.905663140254628	0.0
34	1.36	-638.058855156035	-656.8044027507682	12.030836803679588	0.0
35	1.4000000000000001	-638.0617327162962	-657.7808230303851	12.655653631184204	0.0
36	1.44	-638.0613237361408	-657.1951408085017	12.280027001916366	0.0
37	1.48	-638.059828573576	-657.3889310694592	12.405360607065022	0.0
38	1.52	-638.0574444582948	-657.6286500375581	12.560741647341095	0.0
39	1.56	-638.0605633415569	-657.276909460866	12.332993899275818	0.0
40	1.6	-638.0578443675369	-655.4583437233943	11.167588836490895	0.0
41	1.6400000000000001	-638.0565681209561	-656.7797507250477	12.016483019072062	0.0
42	1.68	-638.0592853880678	-657.4432703120486	12.440583986509964	0.0
43	1.72	-638.0586140382466	-656.816644007321	12.038847954480133	0.0
44	1.76	-638.0573655288871	-656.3309843682534	11.727954329316532	0.0
45	1.8	-638.0606869092986	-657.113983375597	12.228349115955607	0.0
46	1.84	-638.0608069634951	-657.83910046042	12.693650058194873	0.0
47	1.8800000000000001	-638.0588849676751	-656.7626296010145	12.004007787141198	0.0
48	1.92	-638.0615126236328	-656.544658130283	11.862427922438965	0.0
49	1.96	-638.062401405722	-658.1978739348526	12.922886500846003	0.0
