s	t	H	V	T	P
0	0.0	-544.4229836896002	-668.4931934341147	79.62789233502733	0.0
1	0.04	-544.3827068212639	-602.0054730644077	36.98212033254316	0.0
2	0.08	-544.3541834829667	-599.8813235175178	35.63715365233922	0.0
3	0.12	-544.3342428389424	-596.1187635592544	33.235151685719735	0.0
4	0.16	-544.3355936825757	-595.8390614512651	33.05477273562101	0.0
5	0.2	-544.3431001091284	-599.3223968718436	35.28554946664436	0.0
6	0.24	-544.3358265093474	-598.1163530023631	34.51618226587451	0.0
7	0.28	-544.3414942073049	-605.3525333045629	39.15670379286521	0.0
8	0.32	-544.3383600223541	-608.0605025391615	40.89668192013306	0.0
9	0.36	-544.3441013323738	-600.6523121905013	36.138442588449244	0.0
10	0.4	-544.3436596534965	-603.5448129141416	37.99512443523154	0.0
11	0.44	-544.3322807184061	-599.1205396316085	35.162941941886864	0.0
12	0.48	-544.3267553997536	-598.40336456594	34.70620724664994	0.0
13	0.52	-544.3302620962344	-599.1920912428207	35.21015909929323	0.0
14	0.56	-544.3242117852443	-601.1371213262127	36.46235670499375	0.0
15	0.6	-544.3346672236634	-607.9846549358265	40.850373180690326	0.0
16	0.64	-544.3344363381426	-602.0982691256886	37.07265642201109	0.0
17	0.68	-544.3308196011491	-598.5430713120576	34.79326222922325	0.0
18	0.72	-544.3359213050209	-604.0399791253191	38.31788708883961	0.0
19	0.76	-544.3319430003017	-602.0834222626232	37.06472796619107	0.0
20	0.8	-544.3353063822688	-603.828845710822	38.182776945722054	0.0
21	0.84	-544.3468554295561	-607.7751526199472	40.708092861863555	0.0
22	0.88	-544.3345908273994	-605.3447137758219	39.15611581126194	0.0
23	0.92	-544.3358835515113	-604.6838613499963	38.73115301948497	0.0
24	0.96	-544.3285426531564	-602.4092832154837	37.276046891184784	0.0
25	1.0	-544.3261395014416	-600.5646392465162	36.093702203016186	0.0
26	1.04	-544.3422591246668	-604.0047151962058	38.29118720997284	0.0
27	1.08	-544.3262569611894	-601.5475315856122	36.72444420340013	0.0
28	1.12	-544.3450128669081	-605.3305212020947	39.140318225551	0.0
29	1.16	-544.3291474976771	-602.7982324386069	37.52528516064484	0.0
30	1.2	-544.3408706078615	-604.4472544533479	38.57609873757658	0.0
31	1.24	-544.3381766284906	-604.2372819143246	38.44306797325891	0.0
32	1.28	-544.3638934620404	-612.9163327771956	43.99675206748831	0.0
33	1.32	-544.3520985405012	-605.895283415819	39.49823337364961	0.0
34	1.36	-544.3322492875502	-599.885956158366	35.65420416899524	0.0
35	1.4000000000000001	-544.347858892636	-600.3037262491034	35.91230957494899	0.0
36	1.44	-544.333152555994	-601.6906845139127	36.81189375558363	0.0
37	1.48	-544.3443041318434	-603.9877532276255	38.278988589350696	0.0
38	1.52	-544.338290215868	-602.0465263506574	37.036974655300014	0.0
39	1.56	-544.3582363943021	-608.4234015715803	41.11683284542519	0.0
40	1.6	-544.338654606005	-602.7744033074068	37.50389006106814	0.0
41	1.6400000000000001	-544.3370792365544	-603.891322934402	38.22173682974577	0.0
42	1.68	-544.3468738974132	-607.4655883399195	40.50940357320902	0.0
43	1.72	-544.3553187700004	-601.3897491085762	36.604528095355555	0.0
44	1.76	-544.3346067622363	-602.0400441830537	37.03517844898037	0.0
45	1.8	-544.3366087888468	-604.6497019361504	38.70876415390527	0.0
46	1.84	-544.3467409127289	-609.0984760562342	41.55747141179637	0.0
47	1.8800000000000001	-544.3437470416316	-605.2154788290045	39.06729677488838	0.0
48	1.92	-544.3507095393143	-609.5949773104918	41.87357739024634	0.0
49	1.96	-544.3486125260416	-608.258192801174	41.016978917052484	0.0
