s	t	H	V	T	P
0	0.0	-560.0315742781041	-668.5895058649404	69.67215825869958	0.0
1	0.04	-559.9942273398515	-609.1030202047378	31.517877490500656	0.0
2	0.08	-559.9722411313691	-608.5915251769256	31.203712183269346	0.0
3	0.12	-559.9573204051811	-607.5954958971628	30.574039625820586	0.0
4	0.16	-559.9559852119587	-606.735753919658	30.023116699686668	0.0
5	0.2	-559.9600617556571	-612.0168726832541	33.409906732513086	0.0
6	0.24	-559.9560519719107	-610.0868935021765	32.17382529018262	0.0
7	0.28	-559.9631685192446	-615.8245457484812	35.851666091768394	0.0
8	0.32	-559.9607126923859	-614.6667679677374	35.11018389112011	0.0
9	0.36	-559.9638409620733	-611.1136360900211	32.8277866846035	0.0
10	0.4	-559.9545987286552	-612.4309583313864	33.67917182686311	0.0
11	0.44	-559.9518645915889	-605.8300835285819	29.444504732927737	0.0
12	0.48	-559.9540862893957	-611.7104596191963	33.217086774039664	0.0
13	0.52	-559.9444790968166	-606.6311793116863	29.96338561724491	0.0
14	0.56	-559.9733739384088	-617.8395883580052	37.13836464956051	0.0
15	0.6	-559.966406962638	-614.3177120649906	34.88250628309836	0.0
16	0.64	-559.9534290985969	-613.584287920123	34.42012599857273	0.0
17	0.68	-559.9601500430831	-615.4767122236194	35.63036481703091	0.0
18	0.72	-559.9459340471915	-605.8956830022046	29.490412486169653	0.0
19	0.76	-559.9566597955915	-611.7182368621666	33.220426516855234	0.0
20	0.8	-559.9647250002986	-616.5294848396164	36.30309496305998	0.0
21	0.84	-559.9754814742882	-619.4056856587589	38.142128638248344	0.0
22	0.88	-559.9663403503846	-615.9355083152788	35.92084586595694	0.0
23	0.92	-559.9541823801313	-610.0543683426753	32.15415063781403	0.0
24	0.96	-559.9608819624561	-609.723833724617	31.9377147290242	0.0
25	1.0	-559.9435254149988	-606.284766208074	29.74167078576823	0.0
26	1.04	-559.9507737942445	-610.8438860646617	32.66304838855496	0.0
27	1.08	-559.9590081902115	-612.029360989341	33.4185978654661	0.0
28	1.12	-559.9583099572652	-611.3286742875518	32.96934734394647	0.0
29	1.16	-559.9524401458951	-610.2414401824622	32.2753309500631	0.0
30	1.2	-559.9543029294018	-610.4661069889886	32.41832591068549	0.0
31	1.24	-559.9510037638967	-608.6135938939516	31.231505899754474	0.0
32	1.28	-559.9566292753526	-614.2863632843266	34.868662019397654	0.0
33	1.32	-559.9538423875721	-611.0946072001578	32.82199105500892	0.0
34	1.36	-559.9665831436007	-612.0759879839737	33.4436613496177	0.0
35	1.4000000000000001	-559.957423103992	-614.0489521548134	34.715782784321775	0.0
36	1.44	-559.9410097286465	-606.773393652138	30.056884989003773	0.0
37	1.48	-559.949845070982	-614.8193805302424	35.215104987892765	0.0
38	1.52	-559.9608824889918	-616.266773305145	36.13695359239671	0.0
39	1.56	-559.9748026590579	-614.0664702253631	34.71587168314816	0.0
40	1.6	-559.9824563897147	-620.2865319780341	38.702976711316126	0.0
41	1.6400000000000001	-559.9613104979894	-617.217540016186	36.74687815046715	0.0
42	1.68	-559.9494487013613	-610.8554107308091	32.67129532575868	0.0
43	1.72	-559.9491218200551	-608.7278170106557	31.30602178297673	0.0
44	1.76	-559.9561440581408	-614.8539484356321	35.233247895702384	0.0
45	1.8	-559.9581296291784	-611.0036529935992	32.760865376282865	0.0
46	1.84	-559.9735092892148	-619.0389123246115	37.908000343615974	0.0
47	1.8800000000000001	-559.9688774247142	-613.1114803345087	34.10676480371891	0.0
48	1.92	-559.9652196391187	-615.9117043530706	35.90628782283315	0.0
49	1.96	-559.9597079823169	-615.6691356259223	35.75414529874392	0.0
