s	t	H	V	T	P
0	0.0	-528.8144452114369	-668.3972114371691	89.5838050385766	0.0
1	0.04	-528.770544908179	-595.136439338174	42.593434050538306	0.0
2	0.08	-528.7357131253709	-591.3825740730833	40.20656940085836	0.0
3	0.12	-528.7100559800283	-584.5840167551864	35.85974217418895	0.0
4	0.16	-528.7104354426248	-583.8979137841438	35.41915978597293	0.0
5	0.2	-528.7218949558047	-585.7721901532249	36.61471011467001	0.0
6	0.24	-528.7072938430281	-587.0779165355941	37.462092381911624	0.0
7	0.28	-528.714438621775	-589.9005715364301	39.26907848513764	0.0
8	0.32	-528.7173663172948	-596.1430788851701	43.273622185559745	0.0
9	0.36	-528.7221263517432	-592.0364391944242	40.634938045844216	0.0
10	0.4	-528.7294961824813	-591.8241012132676	40.49393022433134	0.0
11	0.44	-528.6980823289219	-586.7695422902432	37.270090629006795	0.0
12	0.48	-528.6964539091737	-582.2765732918571	34.38756157733393	0.0
13	0.52	-528.7281342752569	-591.5530436459585	40.32084035022964	0.0
14	0.56	-528.7106669264017	-594.7063595953039	42.35583965914298	0.0
15	0.6	-528.7228746433458	-594.4696091018832	42.19605901871635	0.0
16	0.64	-528.7162244331146	-593.4393933978386	41.539137723047894	0.0
17	0.68	-528.7203320351408	-596.9415603353581	43.784181821238505	0.0
18	0.72	-528.7138799955618	-592.099389866437	40.68063208720435	0.0
19	0.76	-528.7176651022241	-587.9648160709893	38.024645627767406	0.0
20	0.8	-528.7210138132621	-591.6081829544704	40.360798486134506	0.0
21	0.84	-528.716295084632	-586.8933271531297	37.33784649402178	0.0
22	0.88	-528.7048336782336	-583.5908113669407	35.225657561945994	0.0
23	0.92	-528.7093215296322	-594.0689659697779	41.94762579391622	0.0
24	0.96	-528.7144032706163	-589.7395178697187	39.16573740816839	0.0
25	1.0	-528.7246299794018	-589.6694133912071	39.11418109060908	0.0
26	1.04	-528.7138651799763	-593.0719665294057	41.30483841118614	0.0
27	1.08	-528.7292032606346	-594.4593206749921	42.18539424908629	0.0
28	1.12	-528.7212384960008	-597.4731273543953	44.12475819231093	0.0
29	1.16	-528.7099249659842	-588.5863235606307	38.42849488625528	0.0
30	1.2	-528.7200065154071	-589.3423883478736	38.90726471397765	0.0
31	1.24	-528.7224055261819	-599.015594924951	45.11396030406356	0.0
32	1.28	-528.7219845038182	-590.0888709552762	39.38508556852498	0.0
33	1.32	-528.7203003098479	-589.0408588917786	38.7135554476892	0.0
34	1.36	-528.7015063569551	-580.014739911819	32.932680981862106	0.0
35	1.4000000000000001	-528.7069279025383	-590.4226389704529	39.60896017194683	0.0
36	1.44	-528.7198819889078	-590.6976980843626	39.77717840061278	0.0
37	1.48	-528.7075960635881	-596.596120808566	43.5706536670536	0.0
38	1.52	-528.7141946979436	-597.5197725793383	44.159215647906706	0.0
39	1.56	-528.7116557614419	-590.432922403684	39.61252572305949	0.0
40	1.6	-528.7090291063977	-589.1630112280561	38.79918627944386	0.0
41	1.6400000000000001	-528.712721105341	-584.7935318762698	35.9924978874794	0.0
42	1.68	-528.7068446096592	-585.1211542021854	36.20653644125226	0.0
43	1.72	-528.7020585394149	-584.8778073420243	36.05342883440635	0.0
44	1.76	-528.7229706964223	-589.190241016749	38.80771460590567	0.0
45	1.8	-528.7190488201006	-587.4090140390841	37.66704546745832	0.0
46	1.84	-528.7156504911923	-591.7932654769417	40.48302606385841	0.0
47	1.8800000000000001	-528.7273124673537	-594.530596179368	42.232352161742	0.0
48	1.92	-528.7084006427187	-590.5357397208203	39.68060269753812	0.0
49	1.96	-528.7327352360636	-596.7759643183239	43.669942451510785	0.0
