s	t	H	V	T	P
0	0.0	-653.6842254842031	-669.185234910438	9.948501837936575	0.0
1	0.04	-653.6728102633529	-661.8907936821327	5.27427736464004	0.0
2	0.08	-653.6752698750455	-665.2777861439014	7.446460501471903	0.0
3	0.12	-653.6761368762952	-665.365298598763	7.502069296409355	0.0
4	0.16	-653.6768036104921	-666.196531304789	8.03512407175089	0.0
5	0.2	-653.6748168252317	-664.2257107098743	6.7715323768263715	0.0
6	0.24	-653.6763453491662	-663.781710018727	6.485593049056252	0.0
7	0.28	-653.6772420375869	-664.366886673131	6.860582196899568	0.0
8	0.32	-653.6782834113123	-665.4066570156199	7.527235365780996	0.0
9	0.36	-653.6779968288565	-666.0287989841387	7.926708162234831	0.0
10	0.4	-653.6776323296154	-665.4261022279358	7.54013310762637	0.0
11	0.44	-653.6777465462526	-665.507395292665	7.592233451367758	0.0
12	0.48	-653.6767144323285	-664.6583863320053	7.048004428192078	0.0
13	0.52	-653.6777641394384	-664.8466262220891	7.1681425319860095	0.0
14	0.56	-653.675554061679	-663.2245714216723	6.128530997187819	0.0
15	0.6	-653.6766855598352	-664.7368380022697	7.098373007579284	0.0
16	0.64	-653.6783586189727	-666.3221856624176	8.114770665668681	0.0
17	0.68	-653.678467617458	-665.1850769983915	7.38490774548488	0.0
18	0.72	-653.6812076494336	-666.4119557044284	8.170556312872662	0.0
19	0.76	-653.6777959272576	-665.3660461115701	7.5014842739269865	0.0
20	0.8	-653.6753793276866	-663.6460167201208	6.399125482508861	0.0
21	0.84	-653.6786512658482	-665.2944415387074	7.454979717839783	0.0
22	0.88	-653.676196333631	-664.5113583583969	6.953974825361262	0.0
23	0.92	-653.6774864728957	-665.6625403079529	7.691971975969346	0.0
24	0.96	-653.6800522801038	-665.8696673608297	7.823258776238018	0.0
25	1.0	-653.6790815533252	-665.9602354393387	7.882008109755946	0.0
26	1.04	-653.6778527099156	-664.6022567600645	7.0112500923539445	0.0
27	1.08	-653.6768095953568	-664.0484660716579	6.656498340185257	0.0
28	1.12	-653.677595660108	-665.2195289177674	7.407578504715274	0.0
29	1.16	-653.675938050571	-664.1179521240814	6.701653637230901	0.0
30	1.2	-653.6778533632299	-665.4315741656404	7.543503122285126	0.0
31	1.24	-653.6792012470626	-666.253587025945	8.070203468195706	0.0
32	1.28	-653.6789363878898	-665.258665564706	7.4318358134400055	0.0
33	1.32	-653.680378209699	-666.1657129142864	8.013050753044414	0.0
34	1.36	-653.6757217086637	-663.697320381696	6.431832281127903	0.0
35	1.4000000000000001	-653.6769604814698	-664.2627611078735	6.793935420074596	0.0
36	1.44	-653.6799129685662	-666.1089043013146	7.976889744242852	0.0
37	1.48	-653.677598257344	-665.3917672245486	7.518118871852107	0.0
38	1.52	-653.6767478842332	-665.2986727272638	7.458916866766502	0.0
39	1.56	-653.6770678326758	-665.1367812981179	7.354810086124089	0.0
40	1.6	-653.6767900494989	-664.8049366765841	7.142011473460237	0.0
41	1.6400000000000001	-653.6749947788744	-663.1880344219054	6.105440605234457	0.0
42	1.68	-653.6792560833085	-665.9173242645658	7.8543558323351865	0.0
43	1.72	-653.6778492699842	-664.3202898012289	6.830286742876676	0.0
44	1.76	-653.6795917157364	-665.887857471556	7.835228724152159	0.0
45	1.8	-653.6777001573165	-666.0233597651063	7.92340769051893	0.0
46	1.84	-653.6766280519323	-664.9789952682311	7.253825730476568	0.0
47	1.8800000000000001	-653.6772012061741	-664.2939427406365	6.813793203024371	0.0
48	1.92	-653.679153891861	-665.0723098655345	7.31209368547033	0.0
49	1.96	-653.6768741511978	-664.3417278682953	6.844671459027614	0.0
