s	t	H	V	T	P
0	0.0	-591.2489121675252	-668.7835021008086	49.76146967238406	0.0
1	0.04	-591.2159823705225	-624.2512662529429	21.201947136731896	0.0
2	0.08	-591.2067525382735	-626.6905158425058	22.77337396180173	0.0
3	0.12	-591.2002946257951	-629.6919754918083	24.70384652451709	0.0
4	0.16	-591.1878025685238	-627.5826577887219	23.358110049064194	0.0
5	0.2	-591.2040472977294	-633.2005953807102	26.95325990083005	0.0
6	0.24	-591.2107070567712	-631.0145387952634	25.545981059601928	0.0
7	0.28	-591.2050791231708	-634.1847493775334	27.58422479221027	0.0
8	0.32	-591.1989712695636	-630.1515995660793	24.99968121717818	0.0
9	0.36	-591.1946127054867	-630.2966350373681	25.095561865627808	0.0
10	0.4	-591.1982200304262	-632.9481675348956	26.79499238152868	0.0
11	0.44	-591.1955041348119	-627.4765943556401	23.285096010158473	0.0
12	0.48	-591.1974086506673	-629.2533913559156	24.424216738225972	0.0
13	0.52	-591.1950649798351	-630.9129883280567	25.49084530972903	0.0
14	0.56	-591.1938205672468	-629.7278175193209	24.73100486294363	0.0
15	0.6	-591.1960986140555	-630.3729520407392	25.143588240149946	0.0
16	0.64	-591.1992469508151	-630.508469325151	25.228542237840966	0.0
17	0.68	-591.1993805737972	-630.612303042158	25.295096650371974	0.0
18	0.72	-591.2070377744831	-632.6104062130266	26.572558965772007	0.0
19	0.76	-591.2097983888962	-633.0981547988454	26.88382280622492	0.0
20	0.8	-591.2199826571301	-636.8535037867994	29.28745840652656	0.0
21	0.84	-591.2024099956978	-631.3208473082955	25.747893983215462	0.0
22	0.88	-591.1944942960145	-626.4074061083813	22.59954227829402	0.0
23	0.92	-591.1952319589271	-629.9975958227055	24.903241950278968	0.0
24	0.96	-591.1963624860052	-630.5433454290735	25.252776858768257	0.0
25	1.0	-591.2098939037669	-634.3809329957662	27.70704474416325	0.0
26	1.04	-591.1991641689066	-630.197625807229	25.02909691990207	0.0
27	1.08	-591.1948922015853	-631.3010819202093	25.74003351375788	0.0
28	1.12	-591.1990181696108	-629.1808324651108	24.376615673004455	0.0
29	1.16	-591.1990749066596	-626.4493981529205	22.62355282551844	0.0
30	1.2	-591.2036448646329	-633.4482668132742	27.11247297145052	0.0
31	1.24	-591.1948418219179	-628.9964240121069	24.26094324280083	0.0
32	1.28	-591.2052423871015	-631.6999000317911	25.98935107561303	0.0
33	1.32	-591.2134582374357	-635.1607879123154	28.20526573598378	0.0
34	1.36	-591.20113685697	-632.8000641375587	26.69806805011708	0.0
35	1.4000000000000001	-591.19717840028	-631.277369975195	25.72334798229604	0.0
36	1.44	-591.189873927331	-626.040135458531	22.36679440430007	0.0
37	1.48	-591.2038855011456	-632.3856640782099	26.430343250422293	0.0
38	1.52	-591.20369348472	-632.9938359377686	26.82078938021573	0.0
39	1.56	-591.2055964584026	-634.721570104676	27.928422717223185	0.0
40	1.6	-591.1873277992594	-624.6421185460351	21.471185397048224	0.0
41	1.6400000000000001	-591.1960824571944	-629.43538171216	24.541868755693987	0.0
42	1.68	-591.1995062248913	-629.7036688047712	24.711857251427134	0.0
43	1.72	-591.204022269813	-632.905404202837	26.763823141932793	0.0
44	1.76	-591.1992925955715	-631.95517725525	26.157005798429818	0.0
45	1.8	-591.1932900837501	-628.3416846659965	23.841729374887343	0.0
46	1.84	-591.2063625556358	-632.8411079066494	26.72105598139661	0.0
47	1.8800000000000001	-591.199501337646	-631.3234314965848	25.751419275692783	0.0
48	1.92	-591.207282996366	-632.6573021716074	26.602499270110833	0.0
49	1.96	-591.2087250708636	-632.510557390894	26.507393386301075	0.0
