s	t	H	V	T	P
0	0.0	-622.4664604978727	-668.9805414617077	29.852599094318474	0.0
1	0.04	-622.4394185475354	-641.3802180810072	12.156148918393498	0.0
2	0.08	-622.4397610764756	-645.6988469855506	14.927612296237475	0.0
3	0.12	-622.4378678602985	-649.2798918662922	17.227131331564358	0.0
4	0.16	-622.4318900329183	-648.530523216088	16.750025308091214	0.0
5	0.2	-622.433571080506	-646.5938514889688	15.505996250918765	0.0
6	0.24	-622.4408390273244	-647.7440458769314	16.239523048283697	0.0
7	0.28	-622.4399784679866	-648.5215743260518	16.739090803411283	0.0
8	0.32	-622.4383702509634	-648.204032605071	16.536325618360287	0.0
9	0.36	-622.4456284816578	-651.6199116237186	18.72396832222119	0.0
10	0.4	-622.4386011331192	-648.6733113626524	16.837359152528336	0.0
11	0.44	-622.4385161627285	-647.312371616553	15.963966596919022	0.0
12	0.48	-622.442529464428	-650.2375296717832	17.838748628868142	0.0
13	0.52	-622.4397892155756	-647.4010372683539	16.020054907519132	0.0
14	0.56	-622.4406753129114	-647.4360589289677	16.041963010705988	0.0
15	0.6	-622.4427868271863	-648.8283894247871	16.934201426458632	0.0
16	0.64	-622.4459932703367	-651.548547733188	18.677933068817516	0.0
17	0.68	-622.4437733181886	-650.0425215403255	17.712794687292035	0.0
18	0.72	-622.4385821317968	-647.3537578349415	15.99048581028134	0.0
19	0.76	-622.4395664099546	-649.4498966451998	17.335149769912682	0.0
20	0.8	-622.4405029751345	-647.2814270529456	15.94283133754426	0.0
21	0.84	-622.4465359810588	-648.6055945950558	16.788806170234697	0.0
22	0.88	-622.4435978237622	-649.4994432070085	17.364361256796688	0.0
23	0.92	-622.4444851953308	-650.3186287246549	17.889542577985765	0.0
24	0.96	-622.4399935641181	-648.7307731937899	16.873344327105798	0.0
25	1.0	-622.4389720678133	-648.9999723825032	17.046771160651367	0.0
26	1.04	-622.442003622297	-649.6560504789098	17.465894492812097	0.0
27	1.08	-622.4368234765755	-647.0804685738815	15.816218273441471	0.0
28	1.12	-622.4382635412155	-648.7150131247952	16.864339885169443	0.0
29	1.16	-622.4356638158059	-645.8837093935928	15.048886050725631	0.0
30	1.2	-622.4418356719623	-650.8268043384251	18.21738863471336	0.0
31	1.24	-622.440231601982	-647.9035247470193	16.342265957504907	0.0
32	1.28	-622.4424008365588	-649.9888842451753	17.67925128511285	0.0
33	1.32	-622.4440063536891	-649.7706300099334	17.53814594865257	0.0
34	1.36	-622.4469103650955	-648.698506852897	16.84819670296125	0.0
35	1.4000000000000001	-622.4409412784232	-647.9187944587436	16.35161054493083	0.0
36	1.44	-622.4403636606678	-649.5801775231381	17.41825197751808	0.0
37	1.48	-622.4375539555172	-648.5892026889728	16.784050530898103	0.0
38	1.52	-622.4337159032241	-647.7798789567205	16.26709221243252	0.0
39	1.56	-622.4367236949737	-648.7439325752172	16.883888571355644	0.0
40	1.6	-622.4383663931438	-646.6794382599369	15.557847969060905	0.0
41	1.6400000000000001	-622.4401196982778	-649.1752177862952	17.15850659479653	0.0
42	1.68	-622.4449850724128	-651.7435377539158	18.803724143764438	0.0
43	1.72	-622.4383165553229	-646.6448013493483	15.535650088423852	0.0
44	1.76	-622.4432029217867	-649.7405274112224	17.51934183036388	0.0
45	1.8	-622.4369884971793	-646.8108107965005	15.643046802612897	0.0
46	1.84	-622.4394689171107	-649.0102788553922	17.05306694795443	0.0
47	1.8800000000000001	-622.4451124532078	-650.3839165948791	17.931041567057367	0.0
48	1.92	-622.4414453213666	-649.4835731165681	17.35555734950756	0.0
49	1.96	-622.4364649077056	-646.0302680714489	15.142432836738516	0.0
