s	t	H	V	T	P
0	0.0	-669.2932139073487	-669.3093722801777	0.010370395718649346	0.0
1	0.04	-669.2963350008226	-674.1170378747584	3.0939127951452425	0.0
2	0.08	-669.2964505532551	-674.5756728580349	3.388189204832605	0.0
3	0.12	-669.2942406364077	-671.7207897703171	1.557352031389883	0.0
4	0.16	-669.2969628965499	-675.1145083321422	3.733683392277487	0.0
5	0.2	-669.295099530669	-673.4384739361838	2.6592053946344394	0.0
6	0.24	-669.2947724323508	-671.3940527006583	1.3473118448825214	0.0
7	0.28	-669.2953502094598	-672.0800068228546	1.7871843487491326	0.0
8	0.32	-669.2955731440042	-673.1580775371938	2.4789438544338025	0.0
9	0.36	-669.2958550255821	-673.9288158422536	2.9734205000699405	0.0
10	0.4	-669.2956357559298	-673.592688577274	2.757835745748385	0.0
11	0.44	-669.2956274953284	-673.3745547572598	2.6178434091818343	0.0
12	0.48	-669.295047230176	-673.3622125218283	2.6102946115698664	0.0
13	0.52	-669.2965093698257	-672.6201205285238	2.133083776139972	0.0
14	0.56	-669.2948518196354	-670.8792419929571	1.016856910274628	0.0
15	0.6	-669.296082807322	-673.8714703460461	2.9364701411787055	0.0
16	0.64	-669.2965428066702	-674.1422252169646	3.1099445874331546	0.0
17	0.68	-669.2944271955047	-672.2824672653551	1.9177152473969448	0.0
18	0.72	-669.296746289261	-674.7599501934527	3.506268049220529	0.0
19	0.76	-669.2963741615641	-673.165256235076	2.4830370307336453	0.0
20	0.8	-669.2949630009422	-671.2020907653659	1.2239889382583522	0.0
21	0.84	-669.2953746248537	-672.3824066412825	1.9812479848720665	0.0
22	0.88	-669.2969784205696	-673.7845113312077	2.8800853016530006	0.0
23	0.92	-669.2964686797324	-673.4853993720355	2.6884432842700257	0.0
24	0.96	-669.2960416159906	-673.670532054349	2.8075349784891594	0.0
25	1.0	-669.2959583373506	-673.4501553308118	2.6661512994536167	0.0
26	1.04	-669.2962553979231	-672.857893471574	2.2858487436187085	0.0
27	1.08	-669.2953800588436	-671.6925824572284	1.5385173836403765	0.0
28	1.12	-669.2962487166131	-672.1208677405214	1.8128321051957912	0.0
29	1.16	-669.297596629568	-674.5398274889407	3.36444820497237	0.0
30	1.2	-669.2942317351814	-672.8434612969595	2.27788499753109	0.0
31	1.24	-669.2949298884736	-672.7281655339438	2.2034404463506703	0.0
32	1.28	-669.298464354423	-674.8637611487161	3.5717909630441023	0.0
33	1.32	-669.29658712417	-672.0499624781685	1.767108129321196	0.0
34	1.36	-669.2959231699805	-671.5813438128029	1.4667761847235412	0.0
35	1.4000000000000001	-669.294592825159	-672.815751417237	2.2598691325009486	0.0
36	1.44	-669.2960216245947	-673.7273802144638	2.84403278932636	0.0
37	1.48	-669.2960151842566	-672.9969396634915	2.37524234527711	0.0
38	1.52	-669.297403613098	-674.2554263060678	3.182044247393358	0.0
39	1.56	-669.2979021609877	-673.4192610435741	2.645075897367895	0.0
40	1.6	-669.2957140659754	-671.7990169501542	1.6066123604837586	0.0
41	1.6400000000000001	-669.2953308326554	-672.2715737815801	1.910143890204342	0.0
42	1.68	-669.2967117595579	-672.6887067239177	2.1769722996292535	0.0
43	1.72	-669.2992982203962	-674.4699904544021	3.3185349275609544	0.0
44	1.76	-669.2976479322983	-674.026155191631	3.0347419233583337	0.0
45	1.8	-669.2945824999401	-672.4336106104	2.0146189236806706	0.0
46	1.84	-669.2965004541225	-673.5706579547212	2.7431415968544277	0.0
47	1.8800000000000001	-669.2959238506361	-671.8823897648687	1.6599861463185592	0.0
48	1.92	-669.2968429635721	-671.9456271975569	1.6999818589553632	0.0
49	1.96	-669.2986435592395	-674.345390654004	3.238987305103496	0.0
