s	t	H	V	T	P
0	0.0	-575.6402170581989	-668.6862343375803	59.71665770036517	0.0
1	0.04	-575.6052185880113	-616.4904787974168	26.240038642217723	0.0
2	0.08	-575.5897831352797	-617.5254312176461	26.914174461205846	0.0
3	0.12	-575.5793110223523	-618.8618605396211	27.778611804103566	0.0
4	0.16	-575.5718273484272	-617.0332702105652	26.609830958452008	0.0
5	0.2	-575.5819139575708	-624.0013225794053	31.075432729616985	0.0
6	0.24	-575.5884861756833	-620.3938837447441	28.75597116345656	0.0
7	0.28	-575.5820654336219	-626.0420803800603	32.38508781159304	0.0
8	0.32	-575.5783719970498	-620.5905940838811	28.88871052504215	0.0
9	0.36	-575.5793014343194	-621.8522270965844	29.6978263375949	0.0
10	0.4	-575.5791162807249	-621.9618053971508	29.768272196663265	0.0
11	0.44	-575.5762149184663	-619.7603016005111	28.357215680413745	0.0
12	0.48	-575.5771356544057	-619.9373468765798	28.470251887476373	0.0
13	0.52	-575.57600523336	-620.1943967427139	28.63595122942895	0.0
14	0.56	-575.5801549382151	-622.995736358787	30.43117941151825	0.0
15	0.6	-575.5928348544562	-627.218817068767	33.13340214315975	0.0
16	0.64	-575.5761753647515	-618.2595318727355	27.394051509335892	0.0
17	0.68	-575.5872729411974	-622.218373411914	29.927701866484725	0.0
18	0.72	-575.5835547984877	-625.1968820957231	31.841686191567078	0.0
19	0.76	-575.5808621527622	-623.6540485807035	30.853228353271607	0.0
20	0.8	-575.5872137741321	-623.7920641928985	30.937729911763416	0.0
21	0.84	-575.5850813119346	-624.8614416801767	31.625421816761893	0.0
22	0.88	-575.579400702317	-621.5892633994848	29.528993307448278	0.0
23	0.92	-575.5707407730753	-617.1496382366016	26.68521297298118	0.0
24	0.96	-575.5796968258069	-623.1018215436859	30.499558583476333	0.0
25	1.0	-575.5818129168197	-620.1610773935244	28.61083961601582	0.0
26	1.04	-575.5776336850768	-618.4507704220097	27.515851896948533	0.0
27	1.08	-575.5863755527711	-623.3655974894657	30.664562815367617	0.0
28	1.12	-575.5780181676895	-622.4958900147046	30.11175088456644	0.0
29	1.16	-575.5875685281662	-627.4733188891556	33.300120568625374	0.0
30	1.2	-575.5922336977716	-622.5767506151617	30.154523492909803	0.0
31	1.24	-575.5905024012133	-626.242399960974	32.508237503255984	0.0
32	1.28	-575.5757956204089	-623.0798518948181	30.48796231009012	0.0
33	1.32	-575.5828426568172	-620.7144737316195	28.9653468590789	0.0
34	1.36	-575.5917110492605	-622.156653998485	29.88524216556724	0.0
35	1.4000000000000001	-575.5874094395142	-623.6895383627375	30.871803560833204	0.0
36	1.44	-575.5809006302397	-619.8040289852675	28.38227251024646	0.0
37	1.48	-575.574290974267	-622.0043133692772	29.798650554358705	0.0
38	1.52	-575.5934188576957	-626.7893448528966	32.85739333827578	0.0
39	1.56	-575.592056248902	-621.2182383643102	29.28274824895827	0.0
40	1.6	-575.5839596474623	-624.0249834125262	31.08930526438122	0.0
41	1.6400000000000001	-575.5763321535779	-618.7313417609956	27.696757068539252	0.0
42	1.68	-575.5871190600125	-624.684158850486	31.510334402229294	0.0
43	1.72	-575.5881597712046	-620.3772013856405	28.745473960327928	0.0
44	1.76	-575.5935640100527	-626.8520297702839	32.89753117383473	0.0
45	1.8	-575.5924862262812	-626.1552090300345	32.45100540954888	0.0
46	1.84	-575.5810893638103	-623.5257456102559	30.77073806430523	0.0
47	1.8800000000000001	-575.5880352195845	-623.2240771177824	30.5726702916633	0.0
48	1.92	-575.5896513876132	-621.5356814134327	29.48802568845214	0.0
49	1.96	-575.5873751316776	-622.8783564509051	30.351211436327315	0.0
