s	t	H	V	T	P
0	0.0	-105.47893728813371	-107.3200712835251	1.1816343331834	0.0
1	0.02	-105.71935239573514	-466.64301876856626	231.63973774429596	0.0
2	0.04	-105.6777935550931	-639.6374023065416	342.69369193835445	0.0
3	0.06	-105.6367254031884	-596.4000053083519	314.9704163049585	0.0
4	0.08	-105.62680047522326	-509.07822967678305	258.93392969213625	0.0
5	0.1	-105.62557398296133	-435.0955139116967	211.452829476926	0.0
6	0.12	-105.62599714354991	-382.25155450742494	177.53746160537509	0.0
7	0.14	-105.62680441717234	-348.2996369703648	155.74670360413475	0.0
8	0.16	-105.6281911467614	-328.59695564976573	143.1006912173313	0.0
9	0.18	-105.63066376065348	-315.30496802185473	134.5683460962383	0.0
10	0.2	-105.6311491314899	-297.461579760687	123.11620096538924	0.0
11	0.22	-105.62700559888916	-282.14687964890163	113.28993119936621	0.0
12	0.24	-105.63282536914488	-286.34470827160817	115.98035003768202	0.0
13	0.26	-105.63550980643512	-272.5612017675462	107.13241361322814	339843.40868856665
14	0.28	-105.62602817752077	-257.91233346331603	97.73689869926692	10508.997451323223
15	0.3	-105.63454464025978	-264.24511562736694	101.79579365397973	134277.15432974842
16	0.32	-105.6362389634366	-268.26764814494624	104.37635567204791	0.0
17	0.34	-105.63236756852388	-266.17180140681023	103.03373210640119	0.0
18	0.36	-105.6404246783336	-271.46959055057806	106.42866642422429	0.0
19	0.38	-105.63798900755913	-253.76888201585717	95.0699674341263	0.0
20	0.4	-105.64064860953079	-256.2876716787928	96.68481223859574	0.0
21	0.42	-105.63857180111464	-265.97175914055737	102.90136371564716	0.0
22	0.44	-105.63484001753883	-258.16668009461324	97.89448219948618	0.0
23	0.46	-105.63156954279819	-246.82787684122488	90.6193709095398	0.0
24	0.48	-105.63442730885669	-246.2833297831131	90.26804811825521	25550.32751713269
25	0.5	-105.63664820471874	-249.69153086313895	92.45399609044217	2599.097704834019
26	0.52	-105.6368062377874	-249.21601149189064	92.14870774431014	0.0
27	0.54	-105.63484097782046	-244.81767587823222	89.32713030110662	0.0
28	0.56	-105.64784780376655	-241.7705544814855	87.36314909119548	0.0
29	0.58	-105.6293663201244	-234.9421691932441	82.99257304331789	0.0
30	0.6	-105.64522065609506	-262.96364304976504	100.96649652221097	0.0
31	0.62	-105.6346806655956	-243.69315326387073	88.60551791305264	0.0
32	0.64	-105.63898474529717	-234.1671664250538	82.48900549041743	0.0
33	0.66	-105.63612922879439	-230.09137855758212	79.87500959729658	0.0
34	0.68	-105.64081763505241	-224.4599078005109	76.25773937614665	0.0
35	0.7000000000000001	-105.63249545281082	-216.57877638864377	71.20499378152135	0.0
36	0.72	-105.63846586792296	-230.0607563276655	79.85385669297555	0.0
37	0.74	-105.64236302143551	-230.80724347755327	80.33044874841092	85539.72531773089
38	0.76	-105.6479290118317	-225.23950980748117	76.75352156961057	30423.934832821087
39	0.78	-105.63549135807176	-210.89741016046014	67.55678703723281	0.0
40	0.8	-105.64221849480695	-213.4743218259745	69.20632383869558	0.0
41	0.8200000000000001	-105.6385078784563	-206.71718363139829	64.87199406526562	114611.3518603004
42	0.84	-105.65245227682878	-211.78511410747603	68.11562732813302	95975.57973624552
43	0.86	-105.64386311197943	-196.9086588847026	58.57347502461174	0.0
44	0.88	-105.6484445495195	-200.38573630315958	60.802112637715254	0.0
45	0.9	-105.64462814875262	-205.66499764790927	64.19277625296857	0.0
46	0.92	-105.64330412221257	-202.87968356558804	62.40601969891727	0.0
47	0.9400000000000001	-105.64419783993094	-200.92465183345504	61.15071255099822	0.0
48	0.96	-105.64309479472458	-202.8409560357521	62.38129883098437	0.0
49	0.98	-105.66770711223388	-205.99580405570714	64.39027481330012	8744.343918785404
