s	t	H	V	T	P
0	0.0	-656.7567449923362	-656.7660191615605	0.005952134279547767	0.0
1	0.01	-656.7569020715863	-657.8536433203101	0.7038852779615351	0.0
2	0.02	-656.7573040659612	-660.511781665884	2.4096125791722685	0.0
3	0.03	-656.7578756344782	-664.1179168595512	4.723652611358537	0.0
4	0.04	-656.7584385757027	-667.8166865197334	7.097150706156837	0.0
5	0.05	-656.7587790613734	-670.8065191598029	9.015797897106728	0.0
6	0.06	-656.7589169143408	-672.63719803946	10.19063369442067	0.0
7	0.07	-656.7591429119071	-673.1585925234663	10.525118082027529	0.0
8	0.08	-656.7593336537035	-672.1653965979364	9.887565467618336	0.0
9	0.09	-656.7588484793248	-669.6169362690064	8.252282576610733	0.0
10	0.1	-656.7578517296267	-666.4140521894465	6.197320792503623	0.0
11	0.11	-656.7573229607168	-664.0921874292543	4.707494243746473	0.0
12	0.12	-656.757510492307	-663.4993253935932	4.326876791840317	0.0
13	0.13	-656.75777072154	-664.4412487933781	4.931233419551095	0.0
14	0.14	-656.7578864798581	-666.5229588151777	6.267194439033851	0.0
15	0.15	-656.7584851887835	-669.4124838556897	8.121298783413511	0.0
16	0.16	-656.7593113396604	-672.1043884860117	9.848424963562765	0.0
17	0.17	-656.7593920400972	-673.288100919694	10.608076296572376	0.0
18	0.18	-656.7587924062378	-672.6393202696435	10.1920756443839	0.0
19	0.19	-656.7581878637922	-670.8517545107927	9.045209239952204	0.0
20	0.2	-656.7578603583885	-668.7426437298452	7.691798393233381	0.0
21	0.21	-656.7577388594202	-666.7795956629034	6.431997948484973	0.0
22	0.22	-656.7577206837867	-665.1270983197564	5.3714417238474175	0.0
23	0.23	-656.7577413438344	-663.795219627566	4.516632673072807	0.0
24	0.24	-656.7577340229759	-662.750090471085	3.845876581217171	0.0
25	0.25	-656.7576794384606	-662.0109611202645	3.371540590006465	0.0
26	0.26	-656.7576639760537	-661.6660533688104	3.1501897426436685	0.0
27	0.27	-656.7577520988785	-661.7518929961944	3.2052248037326305	0.0
28	0.28	-656.7578637847195	-662.1699585464108	3.4734663532716143	0.0
29	0.29	-656.7579091666862	-662.7897323006312	3.8712061830372546	0.0
30	0.3	-656.7579260911367	-663.5691312818545	4.371411273625536	0.0
31	0.31	-656.7580445901157	-664.4991514619618	4.9682194123360786	0.0
32	0.32	-656.7582181584273	-665.4448770585586	5.57507189739671	0.0
33	0.33	-656.7582341070766	-666.2279117301528	6.077610989539397	0.0
34	0.34	-656.7581594917003	-666.8830270927824	6.498109972615856	0.0
35	0.35000000000000003	-656.7581023231794	-667.5813146088424	6.946305518275447	0.0
36	0.36	-656.7581962961676	-668.4515076740861	7.504732532960101	0.0
37	0.37	-656.7585888696354	-669.3672625284438	8.092209327755068	0.0
38	0.38	-656.7587891344989	-669.8414175341175	8.396392073561884	0.0
39	0.39	-656.7585135471131	-669.6710765065918	8.287244578887217	0.0
40	0.4	-656.7584129681313	-669.2558543615106	8.020820789974648	0.0
41	0.41000000000000003	-656.7585585711978	-668.7988770223641	7.727440642545586	0.0
42	0.42	-656.7583233125653	-668.1999059257453	7.3431737589603046	0.0
43	0.43	-656.7580005062474	-667.7501707219571	7.054742216259746	0.0
44	0.44	-656.7579400745923	-667.8551956440143	7.1221856843462605	0.0
45	0.45	-656.7584102121821	-668.4718498620871	7.517650798174075	0.0
46	0.46	-656.7587857731905	-668.8523544768545	7.761616496535265	0.0
47	0.47000000000000003	-656.7583650593099	-668.4254353090918	7.487891054813897	0.0
48	0.48	-656.7577273971754	-667.707619398451	7.027608183730865	0.0
49	0.49	-656.7577304854938	-667.541871515556	6.921229702406556	0.0
50	0.5	-656.7581828721019	-667.9303419952861	7.170258562813763	0.0
51	0.51	-656.7585350707103	-668.2124470965673	7.3510867394188795	0.0
52	0.52	-656.7587605079971	-667.8140652150744	7.095261745416618	0.0
53	0.53	-656.7589043030124	-666.3950215249603	6.18443143005079	0.0
54	0.54	-656.7585163627513	-663.8845358948622	4.573458183464694	0.0
55	0.55	-656.7573980157811	-661.0650983846455	2.764669310141594	0.0
56	0.56	-656.7569391634553	-659.5801516629616	1.8119294020096948	0.0
57	0.5700000000000001	-656.7576400562856	-660.1017015867604	2.146208764043232	0.0
58	0.58	-656.7582666202852	-661.6781577020789	3.1575714925270355	0.0
59	0.59	-656.7583649563884	-663.3007099266453	4.198857582194528	0.0
